rank,title,director,actors,genres,url
1,Dune,Denis Villeneuve,Timothée Chalamet; Rebecca Ferguson; Oscar Isaac,"Science Fiction, Adventure",https://letterboxd.com/film/dune-2021/
2,The Worst Person in the World,Joachim Trier,Renate Reinsve; Anders Danielsen Lie; Herbert Nordrum,"Drama, Romance, Comedy",https://letterboxd.com/film/the-worst-person-in-the-world/
3,Spider-Man: No Way Home,Jon Watts,Tom Holland; Zendaya; Benedict Cumberbatch,"Adventure, Action, Science Fiction",https://letterboxd.com/film/spider-man-no-way-home/
4,The Black Phone,Scott Derrickson,Mason Thames; Madeleine McGraw; Ethan Hawke,"Thriller, Horror",https://letterboxd.com/film/the-black-phone/
5,Don't Look Up,Adam McKay,Leonardo DiCaprio; Jennifer Lawrence; Meryl Streep,"Drama, Science Fiction, Comedy",https://letterboxd.com/film/dont-look-up-2021/
6,Cruella,Craig Gillespie,Emma Stone; Emma Thompson; Joel Fry,"Comedy, Crime, Drama",https://letterboxd.com/film/cruella/
7,Mortal Kombat,Simon McQuoid,Lewis Tan; Jessica McNamee; Mehcad Brooks,"Action, Adventure, Fantasy",https://letterboxd.com/film/mortal-kombat-2021/
8,Licorice Pizza,Paul Thomas Anderson,Alana Haim; Cooper Hoffman; Sean Penn,"Drama, Romance, Comedy",https://letterboxd.com/film/licorice-pizza/
9,Jujutsu Kaisen 0,Sunghoo Park,Megumi Ogata; Kana Hanazawa; Yuichi Nakamura,"Action, Animation, Fantasy",https://letterboxd.com/film/jujutsu-kaisen-0/
10,Encanto,"Byron Howard, Jared Bush",Stephanie Beatriz; María Cecilia Botero; John Leguizamo,"Comedy, Family, Fantasy, Animation",https://letterboxd.com/film/encanto/
11,"The French Dispatch of the Liberty, Kansas Evening Sun",Wes Anderson,Benicio del Toro; Adrien Brody; Tilda Swinton,"Drama, Comedy",https://letterboxd.com/film/the-french-dispatch-of-the-liberty-kansas/
12,Luca,Enrico Casarosa,Jacob Tremblay; Jack Dylan Grazer; Emma Berman,"Fantasy, Comedy, Drama, Family, Animation",https://letterboxd.com/film/luca-2021/
13,Black Widow,Cate Shortland,Scarlett Johansson; Florence Pugh; Rachel Weisz,"Action, Adventure, Science Fiction",https://letterboxd.com/film/black-widow-2021/
14,No Time to Die,Cary Joji Fukunaga,Daniel Craig; Léa Seydoux; Rami Malek,"Action, Adventure, Thriller",https://letterboxd.com/film/no-time-to-die-2021/
15,Fear Street: 1994,Leigh Janiak,Kiana Madeira; Olivia Scott Welch; Benjamin Flores Jr.,"Horror, Mystery, Drama",https://letterboxd.com/film/fear-street-1994/
16,The Guilty,Antoine Fuqua,Jake Gyllenhaal; Ethan Hawke; Riley Keough,"Drama, Thriller",https://letterboxd.com/film/the-guilty-2021/
17,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,Simu Liu; Tony Leung Chiu-wai; Awkwafina,"Adventure, Fantasy, Action",https://letterboxd.com/film/shang-chi-and-the-legend-of-the-ten-rings/
18,Fear Street: 1978,Leigh Janiak,Sadie Sink; Emily Rudd; Ryan Simpkins,"Drama, Horror, Mystery",https://letterboxd.com/film/fear-street-1978/
19,To All the Boys: Always and Forever,Michael Fimognari,Lana Condor; Noah Centineo; Janel Parrish,"Comedy, Romance, Drama",https://letterboxd.com/film/to-all-the-boys-always-and-forever/
20,"tick, tick... BOOM!",Lin-Manuel Miranda,Andrew Garfield; Alexandra Shipp; Robin de Jesús,"Drama, Music",https://letterboxd.com/film/tick-tick-boom-2021/
21,Free Guy,Shawn Levy,Ryan Reynolds; Jodie Comer; Lil Rel Howery,"Comedy, Adventure, Science Fiction",https://letterboxd.com/film/free-guy/
22,Nobody,Ilya Naishuller,Bob Odenkirk; Aleksey Serebryakov; Connie Nielsen,"Action, Thriller",https://letterboxd.com/film/nobody-2021/
23,Eternals,Chloé Zhao,Gemma Chan; Richard Madden; Angelina Jolie,"Action, Science Fiction, Adventure",https://letterboxd.com/film/eternals/
24,Fear Street: 1666,Leigh Janiak,Kiana Madeira; Benjamin Flores Jr.; Olivia Scott Welch,"Mystery, Horror",https://letterboxd.com/film/fear-street-1666/
25,The Suicide Squad,James Gunn,Margot Robbie; Idris Elba; John Cena,"Action, Comedy, Adventure",https://letterboxd.com/film/the-suicide-squad/
26,The Conjuring: The Devil Made Me Do It,Michael Chaves,Vera Farmiga; Patrick Wilson; Sterling Jerins,"Thriller, Horror, Mystery",https://letterboxd.com/film/the-conjuring-the-devil-made-me-do-it/
27,The Green Knight,David Lowery,Dev Patel; Alicia Vikander; Joel Edgerton,"Adventure, Fantasy, Drama",https://letterboxd.com/film/the-green-knight/
28,Last Night in Soho,Edgar Wright,Thomasin McKenzie; Anya Taylor-Joy; Matt Smith,"Horror, Mystery",https://letterboxd.com/film/last-night-in-soho/
29,Titane,Julia Ducournau,Vincent Lindon; Agathe Rousselle; Garance Marillier,"Thriller, Horror, Science Fiction, Drama",https://letterboxd.com/film/titane/
30,Squid Game,Hwang Dong-hyuk,Lee Jung-jae; Yim Si-wan; Wi Ha-jun,"Drama, Mystery",https://letterboxd.com/film/squid-game/
31,Boiling Point,Philip Barantini,Stephen Graham; Vinette Robinson; Alice May Feetham,"Drama, Thriller",https://letterboxd.com/film/boiling-point-2021/
32,The Fallout,Megan Park,Jenna Ortega; Maddie Ziegler; Niles Fitch,Drama,https://letterboxd.com/film/the-fallout/
33,Venom: Let There Be Carnage,Andy Serkis,Tom Hardy; Woody Harrelson; Michelle Williams,"Science Fiction, Action, Adventure",https://letterboxd.com/film/venom-let-there-be-carnage/
