rank,title,director,actors,genres,url
1,The Perks of Being a Wallflower,Stephen Chbosky,Logan Lerman; Emma Watson; Ezra Miller,Drama,https://letterboxd.com/film/the-perks-of-being-a-wallflower/
2,The Hunger Games,Gary Ross,Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth,"Action, Science Fiction, Thriller, Adventure",https://letterboxd.com/film/the-hunger-games/
3,Django Unchained,Quentin Tarantino,Jamie Foxx; Christoph Waltz; Leonardo DiCaprio,"Drama, Western",https://letterboxd.com/film/django-unchained/
4,Pitch Perfect,Jason Moore,Anna Kendrick; Anna Camp; Brittany Snow,"Music, Comedy, Romance",https://letterboxd.com/film/pitch-perfect/
5,The Amazing Spider-Man,Marc Webb,Andrew Garfield; Emma Stone; Rhys Ifans,"Science Fiction, Adventure, Action",https://letterboxd.com/film/the-amazing-spider-man/
6,21 Jump Street,"Phil Lord, Christopher Miller",Jonah Hill; Channing Tatum; Brie Larson,"Crime, Action, Comedy",https://letterboxd.com/film/21-jump-street/
7,The Avengers,Joss Whedon,Robert Downey Jr.; Chris Evans; Mark Ruffalo,"Science Fiction, Adventure, Action",https://letterboxd.com/film/the-avengers-2012/
8,The Dark Knight Rises,Christopher Nolan,Christian Bale; Gary Oldman; Tom Hardy,"Thriller, Crime, Drama, Action",https://letterboxd.com/film/the-dark-knight-rises/
9,The Twilight Saga: Breaking Dawn – Part 2,Bill Condon,Kristen Stewart; Robert Pattinson; Taylor Lautner,"Drama, Fantasy, Adventure, Romance",https://letterboxd.com/film/the-twilight-saga-breaking-dawn-part-2/
10,Skyfall,Sam Mendes,Daniel Craig; Judi Dench; Javier Bardem,"Adventure, Thriller, Action",https://letterboxd.com/film/skyfall/
11,Project X,Nima Nourizadeh,Thomas Mann; Oliver Cooper; Jonathan Daniel Brown,Comedy,https://letterboxd.com/film/project-x-2012/
12,Moonrise Kingdom,Wes Anderson,Jared Gilman; Kara Hayward; Bruce Willis,"Romance, Drama, Comedy",https://letterboxd.com/film/moonrise-kingdom/
13,The Hobbit: An Unexpected Journey,Peter Jackson,Martin Freeman; Ian McKellen; Richard Armitage,"Fantasy, Action, Adventure",https://letterboxd.com/film/the-hobbit-an-unexpected-journey/
14,The Hunt,Thomas Vinterberg,Mads Mikkelsen; Thomas Bo Larsen; Annika,Drama,https://letterboxd.com/film/the-hunt-2012/
