rank,title,director,actors,genres,url
1,Project Hail Mary,"Phil Lord, Christopher Miller",Ryan Gosling; James Ortiz; Sandra Hüller,"Science Fiction, Adventure",https://letterboxd.com/film/project-hail-mary/
2,The Drama,Kristoffer Borgli,Zendaya; Robert Pattinson; Mamoudou Athie,"Romance, Drama, Comedy",https://letterboxd.com/film/the-drama/
3,Wuthering Heights,Emerald Fennell,Margot Robbie; Jacob Elordi; Hong Chau,"Romance, Drama",https://letterboxd.com/film/wuthering-heights-2026/
4,Michael,Antoine Fuqua,Jaafar Jackson; Colman Domingo; Nia Long,"Music, Drama",https://letterboxd.com/film/michael-2026/
5,The Devil Wears Prada 2,David Frankel,Meryl Streep; Anne Hathaway; Emily Blunt,"Comedy, Drama",https://letterboxd.com/film/the-devil-wears-prada-2/
6,People We Meet on Vacation,Brett Haley,Emily Bader; Tom Blyth; Sarah Catherine Hook,"Comedy, Drama, Romance",https://letterboxd.com/film/people-we-meet-on-vacation/
7,Backrooms,Kane Parsons,Chiwetel Ejiofor; Renate Reinsve; Mark Duplass,"Mystery, Science Fiction, Horror",https://letterboxd.com/film/backrooms-2026/
8,Send Help,Sam Raimi,Rachel McAdams; Dylan O'Brien; Edyll Ismail,"Thriller, Horror, Comedy",https://letterboxd.com/film/send-help/
9,28 Years Later: The Bone Temple,Nia DaCosta,Ralph Fiennes; Jack O'Connell; Alfie Williams,"Horror, Science Fiction, Thriller",https://letterboxd.com/film/28-years-later-the-bone-temple/
10,The Super Mario Galaxy Movie,"Aaron Horvath, Michael Jelenic",Chris Pratt; Anya Taylor-Joy; Charlie Day,"Adventure, Fantasy, Family, Animation, Comedy",https://letterboxd.com/film/the-super-mario-galaxy-movie/
11,Hoppers,Daniel Chong,Piper Curda; Bobby Moynihan; Jon Hamm,"Science Fiction, Animation, Adventure, Comedy, Family",https://letterboxd.com/film/hoppers/
12,Scream 7,Kevin Williamson,Neve Campbell; Courteney Cox; Isabel May,"Horror, Crime, Mystery",https://letterboxd.com/film/scream-7/
