rank,title,url
1,Grave of the Fireflies,https://letterboxd.com/film/grave-of-the-fireflies/
2,My Neighbor Totoro,https://letterboxd.com/film/my-neighbor-totoro/
3,Akira,https://letterboxd.com/film/akira/
4,Rain Man,https://letterboxd.com/film/rain-man/
5,Cinema Paradiso,https://letterboxd.com/film/cinema-paradiso/
6,Beetlejuice,https://letterboxd.com/film/beetlejuice/
7,Die Hard,https://letterboxd.com/film/die-hard/
8,The Naked Gun: From the Files of Police Squad!,https://letterboxd.com/film/the-naked-gun-from-the-files-of-police-squad/
9,They Live,https://letterboxd.com/film/they-live/
10,Women on the Verge of a Nervous Breakdown,https://letterboxd.com/film/women-on-the-verge-of-a-nervous-breakdown/
11,Big,https://letterboxd.com/film/big/
12,The Vanishing,https://letterboxd.com/film/the-vanishing/
13,Child's Play,https://letterboxd.com/film/childs-play/
14,Who Framed Roger Rabbit,https://letterboxd.com/film/who-framed-roger-rabbit/
15,Twins,https://letterboxd.com/film/twins/
16,Killer Klowns from Outer Space,https://letterboxd.com/film/killer-klowns-from-outer-space/
17,Mississippi Burning,https://letterboxd.com/film/mississippi-burning/
18,The Last Temptation of Christ,https://letterboxd.com/film/the-last-temptation-of-christ/
19,Elvira: Mistress of the Dark,https://letterboxd.com/film/elvira-mistress-of-the-dark/
20,Dead Ringers,https://letterboxd.com/film/dead-ringers/
21,Moonwalker,https://letterboxd.com/film/moonwalker/
22,A Fish Called Wanda,https://letterboxd.com/film/a-fish-called-wanda/
23,Hairspray,https://letterboxd.com/film/hairspray/
24,Midnight Run,https://letterboxd.com/film/midnight-run/
25,Coming to America,https://letterboxd.com/film/coming-to-america/
26,Mystic Pizza,https://letterboxd.com/film/mystic-pizza/
27,Bloodsport,https://letterboxd.com/film/bloodsport/
28,Cocktail,https://letterboxd.com/film/cocktail/
29,Hellbound: Hellraiser II,https://letterboxd.com/film/hellbound-hellraiser-ii/
30,Miracle Mile,https://letterboxd.com/film/miracle-mile/
31,A Short Film About Love,https://letterboxd.com/film/a-short-film-about-love/
32,On the Silver Globe,https://letterboxd.com/film/on-the-silver-globe/
33,A Short Film About Killing,https://letterboxd.com/film/a-short-film-about-killing/
34,Friday the 13th Part VII - The New Blood,https://letterboxd.com/film/friday-the-13th-part-vii-the-new-blood/
35,The Land Before Time,https://letterboxd.com/film/the-land-before-time/
36,Alice,https://letterboxd.com/film/alice-1988/
37,Dangerous Liaisons,https://letterboxd.com/film/dangerous-liaisons/
38,Dirty Rotten Scoundrels,https://letterboxd.com/film/dirty-rotten-scoundrels/
39,Working Girl,https://letterboxd.com/film/working-girl/
40,Beaches,https://letterboxd.com/film/beaches/
41,Willow,https://letterboxd.com/film/willow/
42,As Tears Go By,https://letterboxd.com/film/as-tears-go-by/
43,Running on Empty,https://letterboxd.com/film/running-on-empty-1988/
44,Maniac Cop,https://letterboxd.com/film/maniac-cop/
45,The Blob,https://letterboxd.com/film/the-blob-1988/
46,Damnation,https://letterboxd.com/film/damnation/
47,Oliver & Company,https://letterboxd.com/film/oliver-company/
48,Earth Girls Are Easy,https://letterboxd.com/film/earth-girls-are-easy/
49,A Nightmare on Elm Street 4: The Dream Master,https://letterboxd.com/film/a-nightmare-on-elm-street-4-the-dream-master/
50,Vampire's Kiss,https://letterboxd.com/film/vampires-kiss/
