rank,title,url
1,Beautiful Boy,https://letterboxd.com/film/beautiful-boy-2018/
2,Spider-Man: Into the Spider-Verse,https://letterboxd.com/film/spider-man-into-the-spider-verse/
3,To All the Boys I've Loved Before,https://letterboxd.com/film/to-all-the-boys-ive-loved-before/
4,Avengers: Infinity War,https://letterboxd.com/film/avengers-infinity-war/
5,Hereditary,https://letterboxd.com/film/hereditary/
6,Isle of Dogs,https://letterboxd.com/film/isle-of-dogs-2018/
7,Black Panther,https://letterboxd.com/film/black-panther/
8,Green Book,https://letterboxd.com/film/green-book/
9,Maze Runner: The Death Cure,https://letterboxd.com/film/maze-runner-the-death-cure/
10,Bohemian Rhapsody,https://letterboxd.com/film/bohemian-rhapsody/
11,BlacKkKlansman,https://letterboxd.com/film/blackkklansman/
12,Crazy Rich Asians,https://letterboxd.com/film/crazy-rich-asians/
13,mid90s,https://letterboxd.com/film/mid90s/
14,Game Night,https://letterboxd.com/film/game-night/
15,Mamma Mia! Here We Go Again,https://letterboxd.com/film/mamma-mia-here-we-go-again/
16,A Quiet Place,https://letterboxd.com/film/a-quiet-place-2018/
17,The Kissing Booth,https://letterboxd.com/film/the-kissing-booth/
18,Set It Up,https://letterboxd.com/film/set-it-up/
19,Ocean's Eight,https://letterboxd.com/film/oceans-eight/
20,Ready Player One,https://letterboxd.com/film/ready-player-one/
21,Jurassic World: Fallen Kingdom,https://letterboxd.com/film/jurassic-world-fallen-kingdom/
22,Annihilation,https://letterboxd.com/film/annihilation/
23,The Favourite,https://letterboxd.com/film/the-favourite/
24,Deadpool 2,https://letterboxd.com/film/deadpool-2/
25,Ant-Man and the Wasp,https://letterboxd.com/film/ant-man-and-the-wasp/
26,Bird Box,https://letterboxd.com/film/bird-box/
27,Free Solo,https://letterboxd.com/film/free-solo/
28,Incredibles 2,https://letterboxd.com/film/incredibles-2/
29,Venom,https://letterboxd.com/film/venom-2018/
30,A Star Is Born,https://letterboxd.com/film/a-star-is-born-2018/
31,Climax,https://letterboxd.com/film/climax-2018/
32,Sorry to Bother You,https://letterboxd.com/film/sorry-to-bother-you/
33,The Nun,https://letterboxd.com/film/the-nun-2018/
34,Solo: A Star Wars Story,https://letterboxd.com/film/solo-a-star-wars-story/
35,Under the Silver Lake,https://letterboxd.com/film/under-the-silver-lake/
36,Suspiria,https://letterboxd.com/film/suspiria-2018/
37,Gonjiam: Haunted Asylum,https://letterboxd.com/film/gonjiam-haunted-asylum/
38,The House That Jack Built,https://letterboxd.com/film/the-house-that-jack-built-2018/
39,Instant Family,https://letterboxd.com/film/instant-family/
40,Ralph Breaks the Internet,https://letterboxd.com/film/ralph-breaks-the-internet/
41,I Want to Eat Your Pancreas,https://letterboxd.com/film/i-want-to-eat-your-pancreas/
42,First Man,https://letterboxd.com/film/first-man/
43,Eighth Grade,https://letterboxd.com/film/eighth-grade/
44,Fantastic Beasts: The Crimes of Grindelwald,https://letterboxd.com/film/fantastic-beasts-the-crimes-of-grindelwald/
45,Shoplifters,https://letterboxd.com/film/shoplifters/
46,Mission: Impossible – Fallout,https://letterboxd.com/film/mission-impossible-fallout/
47,The Meg,https://letterboxd.com/film/the-meg/
48,The Ballad of Buster Scruggs,https://letterboxd.com/film/the-ballad-of-buster-scruggs/
49,"Love, Simon",https://letterboxd.com/film/love-simon/
50,Creed II,https://letterboxd.com/film/creed-ii/
