rank,title,director,actors,genres,url
1,Eternal Sunshine of the Spotless Mind,Michel Gondry,Jim Carrey; Kate Winslet; Kirsten Dunst,"Science Fiction, Romance, Drama",https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
2,The Notebook,Nick Cassavetes,Ryan Gosling; Rachel McAdams; Gena Rowlands,"Romance, Drama",https://letterboxd.com/film/the-notebook/
3,Kill Bill: Vol. 2,Quentin Tarantino,Uma Thurman; David Carradine; Daryl Hannah,"Thriller, Action, Crime",https://letterboxd.com/film/kill-bill-vol-2/
4,Mean Girls,Mark Waters,Lindsay Lohan; Rachel McAdams; Lizzy Caplan,"Comedy, Drama",https://letterboxd.com/film/mean-girls/
5,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Daniel Radcliffe; Rupert Grint; Emma Watson,"Adventure, Fantasy",https://letterboxd.com/film/harry-potter-and-the-prisoner-of-azkaban/
6,13 Going on 30,Gary Winick,Jennifer Garner; Mark Ruffalo; Judy Greer,"Comedy, Romance, Fantasy",https://letterboxd.com/film/13-going-on-30-3/
7,Howl's Moving Castle,Hayao Miyazaki,Chieko Baisho; Takuya Kimura; Akihiro Miwa,"Animation, Fantasy, Adventure",https://letterboxd.com/film/howls-moving-castle/
8,Spider-Man 2,Sam Raimi,Tobey Maguire; Kirsten Dunst; James Franco,"Action, Science Fiction, Adventure",https://letterboxd.com/film/spider-man-2/
9,White Chicks,Keenen Ivory Wayans,Shawn Wayans; Marlon Wayans; Frankie Faison,"Comedy, Crime",https://letterboxd.com/film/white-chicks/
10,Shrek 2,"Andrew Adamson, Kelly Asbury, Conrad Vernon",Mike Myers; Eddie Murphy; Cameron Diaz,"Romance, Family, Comedy, Animation, Fantasy",https://letterboxd.com/film/shrek-2/
11,50 First Dates,Peter Segal,Adam Sandler; Drew Barrymore; Rob Schneider,"Comedy, Romance",https://letterboxd.com/film/50-first-dates/
12,Before Sunset,Richard Linklater,Ethan Hawke; Julie Delpy; Vernon Dobtcheff,"Drama, Romance",https://letterboxd.com/film/before-sunset/
13,Mysterious Skin,Gregg Araki,Joseph Gordon-Levitt; Brady Corbet; Michelle Trachtenberg,Drama,https://letterboxd.com/film/mysterious-skin/
14,Kill Bill: The Whole Bloody Affair,Quentin Tarantino,Uma Thurman; Lucy Liu; Vivica A. Fox,"Action, Crime",https://letterboxd.com/film/kill-bill-the-whole-bloody-affair/
