rank,title,director,actors,genres,url
1,Soul,Pete Docter,Jamie Foxx; Tina Fey; Graham Norton,"Music, Drama, Family, Animation, Fantasy",https://letterboxd.com/film/soul-2020/
2,Tenet,Christopher Nolan,John David Washington; Robert Pattinson; Elizabeth Debicki,"Science Fiction, Action, Thriller",https://letterboxd.com/film/tenet/
3,Enola Holmes,Harry Bradbeer,Millie Bobby Brown; Henry Cavill; Sam Claflin,"Mystery, Crime, Adventure",https://letterboxd.com/film/enola-holmes/
4,Palm Springs,Max Barbakow,Andy Samberg; Cristin Milioti; J.K. Simmons,"Romance, Science Fiction, Comedy",https://letterboxd.com/film/palm-springs-2020/
5,Shiva Baby,Emma Seligman,Rachel Sennott; Molly Gordon; Polly Draper,"Comedy, Drama",https://letterboxd.com/film/shiva-baby-2020/
6,Hamilton,Thomas Kail,Lin-Manuel Miranda; Leslie Odom Jr.; Renée Elise Goldsberry,"Drama, History",https://letterboxd.com/film/hamilton-2020/
7,Spree,Eugene Kotlyarenko,Joe Keery; Sasheer Zamata; David Arquette,"Horror, Thriller, Comedy",https://letterboxd.com/film/spree-2020/
8,To All the Boys: P.S. I Still Love You,Michael Fimognari,Lana Condor; Noah Centineo; Jordan Fisher,"Comedy, Romance",https://letterboxd.com/film/to-all-the-boys-ps-i-still-love-you/
9,Greenland,Ric Roman Waugh,Gerard Butler; Morena Baccarin; David Denman,"Action, Science Fiction, Thriller, Adventure",https://letterboxd.com/film/greenland/
10,Normal People,"Lenny Abrahamson, Hettie Macdonald",Paul Mescal; Daisy Edgar-Jones,Drama,https://letterboxd.com/film/normal-people-2020/
11,Another Round,Thomas Vinterberg,Mads Mikkelsen; Thomas Bo Larsen; Magnus Millang,"Drama, Comedy",https://letterboxd.com/film/another-round/
12,Dinner in America,Adam Rehmeier,Kyle Gallner; Emily Skeggs; Pat Healy,"Comedy, Romance, Music",https://letterboxd.com/film/dinner-in-america/
13,Emma.,Autumn de Wilde,Anya Taylor-Joy; Johnny Flynn; Josh O'Connor,"Drama, Romance, Comedy",https://letterboxd.com/film/emma-2020/
14,All the Bright Places,Brett Haley,Elle Fanning; Justice Smith; Alexandra Shipp,"Romance, Drama",https://letterboxd.com/film/all-the-bright-places/
15,Promising Young Woman,Emerald Fennell,Carey Mulligan; Bo Burnham; Alison Brie,"Crime, Drama, Thriller",https://letterboxd.com/film/promising-young-woman/
16,The Invisible Man,Leigh Whannell,Elisabeth Moss; Aldis Hodge; Storm Reid,"Science Fiction, Horror, Thriller",https://letterboxd.com/film/the-invisible-man-2020/
17,I'm Thinking of Ending Things,Charlie Kaufman,Jesse Plemons; Jessie Buckley; Toni Collette,"Fantasy, Thriller, Mystery, Drama",https://letterboxd.com/film/im-thinking-of-ending-things/
18,A Quiet Place Part II,John Krasinski,Emily Blunt; John Krasinski; Millicent Simmonds,"Science Fiction, Horror, Thriller",https://letterboxd.com/film/a-quiet-place-part-ii/
19,Caveat,Damian McCarthy,Jonathan French; Leila Sykes; Ben Caplan,"Mystery, Horror",https://letterboxd.com/film/caveat-2020/
20,Zola,Janicza Bravo,Taylour Paige; Riley Keough; Colman Domingo,"Comedy, Crime, Drama",https://letterboxd.com/film/zola/
21,The Queen's Gambit,Scott Frank,Anya Taylor-Joy; Chloe Pirrie,Drama,https://letterboxd.com/film/the-queens-gambit/
