rank,title,director,actors,genres,url
1,Reservoir Dogs,Quentin Tarantino,Harvey Keitel; Tim Roth; Michael Madsen,"Crime, Thriller",https://letterboxd.com/film/reservoir-dogs/
2,Twin Peaks: Fire Walk with Me,David Lynch,Sheryl Lee; Ray Wise; Mädchen Amick,"Drama, Mystery, Horror",https://letterboxd.com/film/twin-peaks-fire-walk-with-me/
3,Scent of a Woman,Martin Brest,Al Pacino; Chris O'Donnell; James Rebhorn,Drama,https://letterboxd.com/film/scent-of-a-woman/
4,Porco Rosso,Hayao Miyazaki,Shūichirō Moriyama; Tokiko Kato; Bunshi Katsura VI,"Fantasy, Adventure, Animation",https://letterboxd.com/film/porco-rosso/
5,Bram Stoker's Dracula,Francis Ford Coppola,Gary Oldman; Winona Ryder; Anthony Hopkins,"Horror, Romance",https://letterboxd.com/film/bram-stokers-dracula/
6,Aladdin,"John Musker, Ron Clements",Scott Weinger; Robin Williams; Linda Larkin,"Fantasy, Adventure, Romance, Family, Animation",https://letterboxd.com/film/aladdin/
7,Hard Boiled,John Woo,Chow Yun-Fat; Tony Leung Chiu-wai; Anthony Wong Chau-Sang,"Action, Thriller, Crime",https://letterboxd.com/film/hard-boiled/
8,Death Becomes Her,Robert Zemeckis,Meryl Streep; Goldie Hawn; Bruce Willis,"Comedy, Fantasy, Horror",https://letterboxd.com/film/death-becomes-her/
9,My Cousin Vinny,Jonathan Lynn,Joe Pesci; Marisa Tomei; Ralph Macchio,"Drama, Comedy",https://letterboxd.com/film/my-cousin-vinny/
10,A Few Good Men,Rob Reiner,Tom Cruise; Jack Nicholson; Demi Moore,Drama,https://letterboxd.com/film/a-few-good-men/
11,Home Alone 2: Lost in New York,Chris Columbus,Macaulay Culkin; Joe Pesci; Daniel Stern,"Family, Comedy, Adventure",https://letterboxd.com/film/home-alone-2-lost-in-new-york/
12,Unforgiven,Clint Eastwood,Clint Eastwood; Gene Hackman; Morgan Freeman,Western,https://letterboxd.com/film/unforgiven/
13,Malcolm X,Spike Lee,Denzel Washington; Angela Bassett; Albert Hall,"History, Drama",https://letterboxd.com/film/malcolm-x-1992/
14,Army of Darkness,Sam Raimi,Bruce Campbell; Embeth Davidtz; Marcus Gilbert,"Comedy, Fantasy, Horror",https://letterboxd.com/film/army-of-darkness/
15,Batman Returns,Tim Burton,Michael Keaton; Danny DeVito; Michelle Pfeiffer,"Fantasy, Action",https://letterboxd.com/film/batman-returns/
16,Basic Instinct,Paul Verhoeven,Michael Douglas; Sharon Stone; George Dzundza,"Thriller, Mystery",https://letterboxd.com/film/basic-instinct/
17,Alien³,David Fincher,Sigourney Weaver; Charles S. Dutton; Charles Dance,"Horror, Action, Science Fiction",https://letterboxd.com/film/alien-3/
18,Sister Act,Emile Ardolino,Whoopi Goldberg; Maggie Smith; Kathy Najimy,"Music, Comedy",https://letterboxd.com/film/sister-act/
19,Lessons of Darkness,Werner Herzog,Werner Herzog,"Documentary, TV Movie, War",https://letterboxd.com/film/lessons-of-darkness/
20,A League of Their Own,Penny Marshall,Tom Hanks; Geena Davis; Lori Petty,"Comedy, Drama",https://letterboxd.com/film/a-league-of-their-own/
21,The Bodyguard,Mick Jackson,Kevin Costner; Whitney Houston; Gary Kemp,"Drama, Action, Romance",https://letterboxd.com/film/the-bodyguard-1992/
22,Wayne's World,Penelope Spheeris,Mike Myers; Dana Carvey; Rob Lowe,"Comedy, Music",https://letterboxd.com/film/waynes-world/
23,The Player,Robert Altman,Tim Robbins; Greta Scacchi; Fred Ward,"Mystery, Drama, Thriller, Crime, Comedy",https://letterboxd.com/film/the-player/
