rank,title,director,actors,genres,url
1,Spider-Man: Across the Spider-Verse,"Justin K. Thompson, Kemp Powers, Joaquim Dos Santos",Shameik Moore; Hailee Steinfeld; Brian Tyree Henry,"Animation, Science Fiction, Adventure, Action",https://letterboxd.com/film/spider-man-across-the-spider-verse/
2,Barbie,Greta Gerwig,Margot Robbie; Ryan Gosling; America Ferrera,"Comedy, Fantasy, Adventure",https://letterboxd.com/film/barbie/
3,Oppenheimer,Christopher Nolan,Cillian Murphy; Emily Blunt; Matt Damon,"Drama, History",https://letterboxd.com/film/oppenheimer-2023/
4,Bottoms,Emma Seligman,Rachel Sennott; Ayo Edebiri; Ruby Cruz,Comedy,https://letterboxd.com/film/bottoms/
5,Past Lives,Celine Song,Greta Lee; Teo Yoo; John Magaro,"Drama, Romance",https://letterboxd.com/film/past-lives/
6,The Hunger Games: The Ballad of Songbirds & Snakes,Francis Lawrence,Tom Blyth; Rachel Zegler; Peter Dinklage,"Action, Science Fiction",https://letterboxd.com/film/the-hunger-games-the-ballad-of-songbirds-snakes/
7,Saltburn,Emerald Fennell,Barry Keoghan; Jacob Elordi; Rosamund Pike,"Comedy, Drama, Thriller",https://letterboxd.com/film/saltburn/
8,Priscilla,Sofia Coppola,Cailee Spaeny; Jacob Elordi; Ari Cohen,"Drama, Romance",https://letterboxd.com/film/priscilla/
9,Perfect Days,Wim Wenders,Koji Yakusho; Tokio Emoto; Arisa Nakano,Drama,https://letterboxd.com/film/perfect-days-2023/
10,Guardians of the Galaxy Vol. 3,James Gunn,Chris Pratt; Zoe Saldaña; Dave Bautista,"Action, Science Fiction, Adventure",https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/
11,The Super Mario Bros. Movie,"Aaron Horvath, Michael Jelenic",Chris Pratt; Anya Taylor-Joy; Charlie Day,"Adventure, Animation, Comedy, Family, Fantasy",https://letterboxd.com/film/the-super-mario-bros-movie/
12,Poor Things,Yorgos Lanthimos,Emma Stone; Mark Ruffalo; Willem Dafoe,"Romance, Science Fiction, Comedy",https://letterboxd.com/film/poor-things-2023/
