rank,title,director,actors,genres,url
1,The Wolf of Wall Street,Martin Scorsese,Leonardo DiCaprio; Jonah Hill; Margot Robbie,"Comedy, Drama, Crime",https://letterboxd.com/film/the-wolf-of-wall-street/
2,The Hunger Games: Catching Fire,Francis Lawrence,Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth,"Science Fiction, Adventure, Action",https://letterboxd.com/film/the-hunger-games-catching-fire/
3,Prisoners,Denis Villeneuve,Hugh Jackman; Jake Gyllenhaal; Viola Davis,"Thriller, Crime, Drama",https://letterboxd.com/film/prisoners/
4,About Time,Richard Curtis,Domhnall Gleeson; Rachel McAdams; Bill Nighy,"Drama, Fantasy, Romance",https://letterboxd.com/film/about-time/
5,Iron Man 3,Shane Black,Robert Downey Jr.; Gwyneth Paltrow; Don Cheadle,"Action, Adventure, Science Fiction",https://letterboxd.com/film/iron-man-3/
6,Thor: The Dark World,Alan Taylor,Chris Hemsworth; Natalie Portman; Tom Hiddleston,"Action, Adventure, Fantasy",https://letterboxd.com/film/thor-the-dark-world/
7,Her,Spike Jonze,Joaquin Phoenix; Scarlett Johansson; Lynn Adrianna,"Science Fiction, Romance, Drama",https://letterboxd.com/film/her/
8,The Conjuring,James Wan,Vera Farmiga; Patrick Wilson; Lili Taylor,"Horror, Thriller",https://letterboxd.com/film/the-conjuring/
9,Frozen,"Chris Buck, Jennifer Lee",Kristen Bell; Idina Menzel; Jonathan Groff,"Fantasy, Animation, Adventure, Family",https://letterboxd.com/film/frozen-2013/
10,The Great Gatsby,Baz Luhrmann,Leonardo DiCaprio; Tobey Maguire; Carey Mulligan,"Drama, Romance",https://letterboxd.com/film/the-great-gatsby-2013/
11,The Secret Life of Walter Mitty,Ben Stiller,Ben Stiller; Kristen Wiig; Sean Penn,"Comedy, Fantasy, Drama, Adventure",https://letterboxd.com/film/the-secret-life-of-walter-mitty-2013/
12,Evil Dead,Fede Álvarez,Jane Levy; Shiloh Fernandez; Lou Taylor Pucci,Horror,https://letterboxd.com/film/evil-dead/
13,Now You See Me,Louis Leterrier,Jesse Eisenberg; Woody Harrelson; Isla Fisher,"Thriller, Crime",https://letterboxd.com/film/now-you-see-me/
14,Monsters University,Dan Scanlon,Billy Crystal; John Goodman; Steve Buscemi,"Animation, Fantasy, Family, Comedy",https://letterboxd.com/film/monsters-university/
15,Before Midnight,Richard Linklater,Ethan Hawke; Julie Delpy; Seamus Davey-Fitzpatrick,"Drama, Romance",https://letterboxd.com/film/before-midnight/
16,The Hobbit: The Desolation of Smaug,Peter Jackson,Ian McKellen; Martin Freeman; Richard Armitage,"Action, Fantasy, Adventure",https://letterboxd.com/film/the-hobbit-the-desolation-of-smaug/
17,Enemy,Denis Villeneuve,Jake Gyllenhaal; Mélanie Laurent; Sarah Gadon,"Mystery, Thriller",https://letterboxd.com/film/enemy/
18,The Hangover Part III,Todd Phillips,Bradley Cooper; Ed Helms; Zach Galifianakis,Comedy,https://letterboxd.com/film/the-hangover-part-iii/
19,World War Z,Marc Forster,Brad Pitt; Mireille Enos; Daniella Kertesz,"Action, Science Fiction, Horror",https://letterboxd.com/film/world-war-z/
20,Coherence,James Ward Byrkit,Emily Baldoni; Maury Sterling; Nicholas Brendon,"Science Fiction, Thriller",https://letterboxd.com/film/coherence/
21,Despicable Me 2,"Chris Renaud, Pierre Coffin",Steve Carell; Kristen Wiig; Benjamin Bratt,"Science Fiction, Comedy, Animation, Family",https://letterboxd.com/film/despicable-me-2/
22,The Bling Ring,Sofia Coppola,Katie Chang; Emma Watson; Taissa Farmiga,"Drama, Crime",https://letterboxd.com/film/the-bling-ring/
23,Pacific Rim,Guillermo del Toro,Charlie Hunnam; Rinko Kikuchi; Idris Elba,"Science Fiction, Action, Adventure",https://letterboxd.com/film/pacific-rim/
24,The Wind Rises,Hayao Miyazaki,Hideaki Anno; Hidetoshi Nishijima; Miori Takimoto,"Romance, History, Drama, Animation",https://letterboxd.com/film/the-wind-rises/
25,We're the Millers,Rawson Marshall Thurber,Jennifer Aniston; Jason Sudeikis; Emma Roberts,"Comedy, Crime",https://letterboxd.com/film/were-the-millers/
26,The Wolverine,James Mangold,Hugh Jackman; Hiroyuki Sanada; Tao Okamoto,"Action, Science Fiction, Adventure",https://letterboxd.com/film/the-wolverine/
27,Palo Alto,Gia Coppola,Emma Roberts; Jack Kilmer; Nat Wolff,Drama,https://letterboxd.com/film/palo-alto/
28,Grown Ups 2,Dennis Dugan,Adam Sandler; Kevin James; Chris Rock,Comedy,https://letterboxd.com/film/grown-ups-2/
29,Snowpiercer,Bong Joon Ho,Chris Evans; Song Kang-ho; Ed Harris,"Drama, Action, Science Fiction",https://letterboxd.com/film/snowpiercer/
30,Dallas Buyers Club,Jean-Marc Vallée,Matthew McConaughey; Jennifer Garner; Jared Leto,"History, Drama",https://letterboxd.com/film/dallas-buyers-club/
31,Man of Steel,Zack Snyder,Henry Cavill; Amy Adams; Michael Shannon,"Action, Adventure, Science Fiction",https://letterboxd.com/film/man-of-steel/
32,This Is the End,"Evan Goldberg, Seth Rogen",James Franco; Jonah Hill; Seth Rogen,"Comedy, Action",https://letterboxd.com/film/this-is-the-end/
33,12 Years a Slave,Steve McQueen,Chiwetel Ejiofor; Michael Fassbender; Lupita Nyong'o,"History, Drama",https://letterboxd.com/film/12-years-a-slave/
34,Teen Beach Movie,Jeffrey Hornaday,Ross Lynch; Maia Mitchell; Gracie Gillam,"Fantasy, Comedy, TV Movie, Music, Family",https://letterboxd.com/film/teen-beach-movie/
35,Gravity,Alfonso Cuarón,Sandra Bullock; George Clooney; Ed Harris,"Thriller, Science Fiction, Drama",https://letterboxd.com/film/gravity-2013/
36,Insidious: Chapter 2,James Wan,Patrick Wilson; Rose Byrne; Lin Shaye,"Thriller, Horror",https://letterboxd.com/film/insidious-chapter-2/
37,The Purge,James DeMonaco,Ethan Hawke; Lena Headey; Max Burkholder,"Thriller, Science Fiction, Horror",https://letterboxd.com/film/the-purge/
38,Fast & Furious 6,Justin Lin,Vin Diesel; Paul Walker; Dwayne Johnson,"Action, Crime, Thriller",https://letterboxd.com/film/fast-furious-6/
39,Rush,Ron Howard,Chris Hemsworth; Daniel Brühl; Olivia Wilde,"Drama, Action",https://letterboxd.com/film/rush-2013/
40,The Tale of The Princess Kaguya,Isao Takahata,Aki Asakura; Takeo Chii; Nobuko Miyamoto,"Drama, Fantasy, Animation",https://letterboxd.com/film/the-tale-of-the-princess-kaguya/
41,Fruitvale Station,Ryan Coogler,Michael B. Jordan; Melonie Díaz; Octavia Spencer,Drama,https://letterboxd.com/film/fruitvale-station/
42,The Croods,"Chris Sanders, Kirk DeMicco",Nicolas Cage; Emma Stone; Ryan Reynolds,"Adventure, Family, Comedy, Animation",https://letterboxd.com/film/the-croods/
43,The World's End,Edgar Wright,Simon Pegg; Nick Frost; Paddy Considine,"Action, Science Fiction, Comedy",https://letterboxd.com/film/the-worlds-end/
44,Scary Movie 5,Malcolm D. Lee,Ashley French; Simon Rex; Gracie Whitton,Comedy,https://letterboxd.com/film/scary-movie-5/
45,Under the Skin,Jonathan Glazer,Scarlett Johansson; Jeremy McWilliams; Lynsey Taylor Mackay,"Science Fiction, Thriller, Horror, Drama",https://letterboxd.com/film/under-the-skin-2013/
46,The Dirties,Matt Johnson,Matt Johnson; Owen Williams; Krista Madison,"Drama, Comedy, Crime",https://letterboxd.com/film/the-dirties/
47,Stoker,Park Chan-wook,Mia Wasikowska; Nicole Kidman; Matthew Goode,"Horror, Drama, Thriller",https://letterboxd.com/film/stoker/
48,Mama,Andy Muschietti,Jessica Chastain; Nikolaj Coster-Waldau; Megan Charpentier,Horror,https://letterboxd.com/film/mama-2013/
49,Inside Llewyn Davis,"Joel Coen, Ethan Coen",Oscar Isaac; Carey Mulligan; Justin Timberlake,"Music, Drama",https://letterboxd.com/film/inside-llewyn-davis/
