rank,title,director,actors,genres,url
1,GoodFellas,Martin Scorsese,Robert De Niro; Ray Liotta; Joe Pesci,"Crime, Drama",https://letterboxd.com/film/goodfellas/
2,Pretty Woman,Garry Marshall,Julia Roberts; Richard Gere; Ralph Bellamy,"Comedy, Romance",https://letterboxd.com/film/pretty-woman/
3,Edward Scissorhands,Tim Burton,Johnny Depp; Winona Ryder; Dianne Wiest,"Fantasy, Drama, Romance",https://letterboxd.com/film/edward-scissorhands/
4,Misery,Rob Reiner,Kathy Bates; James Caan; Richard Farnsworth,"Drama, Horror, Thriller",https://letterboxd.com/film/misery/
5,Home Alone,Chris Columbus,Macaulay Culkin; Joe Pesci; Daniel Stern,"Family, Comedy",https://letterboxd.com/film/home-alone/
6,Wild at Heart,David Lynch,Nicolas Cage; Laura Dern; Willem Dafoe,"Crime, Thriller, Romance",https://letterboxd.com/film/wild-at-heart/
7,Paris Is Burning,Jennie Livingston,Pepper LaBeija; Octavia St. Laurent; Venus Xtravaganza,"History, Documentary",https://letterboxd.com/film/paris-is-burning/
8,Back to the Future Part III,Robert Zemeckis,Michael J. Fox; Christopher Lloyd; Mary Steenburgen,"Comedy, Adventure, Science Fiction, Western",https://letterboxd.com/film/back-to-the-future-part-iii/
9,The Godfather Part III,Francis Ford Coppola,Al Pacino; Diane Keaton; Talia Shire,"Drama, Thriller, Crime",https://letterboxd.com/film/the-godfather-part-iii/
10,Mermaids,Richard Benjamin,Cher; Bob Hoskins; Winona Ryder,"Drama, Romance, Comedy",https://letterboxd.com/film/mermaids/
11,Ghost,Jerry Zucker,Patrick Swayze; Demi Moore; Whoopi Goldberg,"Fantasy, Romance, Thriller",https://letterboxd.com/film/ghost/
12,Jacob's Ladder,Adrian Lyne,Tim Robbins; Elizabeth Peña; Danny Aiello,"Horror, Drama, Mystery",https://letterboxd.com/film/jacobs-ladder/
13,Total Recall,Paul Verhoeven,Arnold Schwarzenegger; Rachel Ticotin; Sharon Stone,"Action, Adventure, Science Fiction",https://letterboxd.com/film/total-recall/
14,Dreams,Akira Kurosawa,Akira Terao; Mitsuko Baisho; Toshie Negishi,"Drama, Fantasy",https://letterboxd.com/film/dreams/
15,Close-Up,Abbas Kiarostami,Hossain Sabzian; Monoochehr Ahankhah; Mahrokh Ahankhah,"Crime, Drama",https://letterboxd.com/film/close-up/
16,Awakenings,Penny Marshall,Robert De Niro; Robin Williams; John Heard,Drama,https://letterboxd.com/film/awakenings/
17,It,Tommy Lee Wallace,Tim Curry; Harry Anderson; Dennis Christopher,"Mystery, Drama, Horror",https://letterboxd.com/film/it-1990/
18,Rocky V,John G. Avildsen,Sylvester Stallone; Talia Shire; Burt Young,Drama,https://letterboxd.com/film/rocky-v/
19,Frankenhooker,Frank Henenlotter,James Lorinz; Patty Mullen; Joanne Ritchie,"Comedy, Science Fiction, Horror",https://letterboxd.com/film/frankenhooker/
20,King of New York,Abel Ferrara,Christopher Walken; David Caruso; Laurence Fishburne,"Thriller, Crime",https://letterboxd.com/film/king-of-new-york/
21,Days of Thunder,Tony Scott,Tom Cruise; Robert Duvall; Nicole Kidman,"Drama, Adventure, Action",https://letterboxd.com/film/days-of-thunder/
22,The Hunt for Red October,John McTiernan,Sean Connery; Alec Baldwin; Scott Glenn,"Thriller, Action",https://letterboxd.com/film/the-hunt-for-red-october/
23,Tremors,Ron Underwood,Kevin Bacon; Fred Ward; Finn Carter,"Horror, Science Fiction, Comedy",https://letterboxd.com/film/tremors/
24,Cry-Baby,John Waters,Johnny Depp; Amy Locane; Susan Tyrrell,"Comedy, Romance",https://letterboxd.com/film/cry-baby/
25,Postcards from the Edge,Mike Nichols,Meryl Streep; Shirley MacLaine; Dennis Quaid,"Comedy, Drama",https://letterboxd.com/film/postcards-from-the-edge/
26,Days of Being Wild,Wong Kar-Wai,Leslie Cheung; Maggie Cheung; Andy Lau,"Drama, Romance, Crime",https://letterboxd.com/film/ah-fei-jing-juen/
27,Predator 2,Stephen Hopkins,Danny Glover; Gary Busey; Rubén Blades,"Action, Science Fiction, Thriller",https://letterboxd.com/film/predator-2/
28,Kindergarten Cop,Ivan Reitman,Arnold Schwarzenegger; Penelope Ann Miller; Pamela Reed,Comedy,https://letterboxd.com/film/kindergarten-cop/
29,Child's Play 2,John Lafia,Alex Vincent; Brad Dourif; Christine Elise,Horror,https://letterboxd.com/film/childs-play-2/
30,Dances with Wolves,Kevin Costner,Kevin Costner; Mary McDonnell; Graham Greene,"Western, Drama, Adventure",https://letterboxd.com/film/dances-with-wolves/
31,Miller's Crossing,Joel Coen,Gabriel Byrne; Marcia Gay Harden; John Turturro,"Drama, Thriller, Crime",https://letterboxd.com/film/millers-crossing/
32,Teenage Mutant Ninja Turtles,Steve Barron,Brian Tochi; Josh Pais; Corey Feldman,"Comedy, Family, Science Fiction, Action, Adventure",https://letterboxd.com/film/teenage-mutant-ninja-turtles/
