rank,title,director,actors,genres,url
1,Call Me by Your Name,Luca Guadagnino,Timothée Chalamet; Armie Hammer; Michael Stuhlbarg,"Romance, Drama",https://letterboxd.com/film/call-me-by-your-name/
2,Get Out,Jordan Peele,Daniel Kaluuya; Allison Williams; Catherine Keener,"Horror, Mystery, Thriller",https://letterboxd.com/film/get-out-2017/
3,Lady Bird,Greta Gerwig,Saoirse Ronan; Laurie Metcalf; Tracy Letts,"Comedy, Drama",https://letterboxd.com/film/lady-bird/
4,Spider-Man: Homecoming,Jon Watts,Tom Holland; Michael Keaton; Robert Downey Jr.,"Action, Adventure, Science Fiction",https://letterboxd.com/film/spider-man-homecoming/
5,It,Andy Muschietti,Jaeden Martell; Jeremy Ray Taylor; Sophia Lillis,"Drama, Thriller, Horror",https://letterboxd.com/film/it-2017/
6,Baby Driver,Edgar Wright,Ansel Elgort; Kevin Spacey; Lily James,"Crime, Action",https://letterboxd.com/film/baby-driver/
7,Coco,Lee Unkrich,Anthony Gonzalez; Gael García Bernal; Benjamin Bratt,"Adventure, Animation, Music, Family",https://letterboxd.com/film/coco-2017/
8,The Greatest Showman,Michael Gracey,Hugh Jackman; Zac Efron; Michelle Williams,Drama,https://letterboxd.com/film/the-greatest-showman/
9,Blade Runner 2049,Denis Villeneuve,Ryan Gosling; Harrison Ford; Ana de Armas,"Science Fiction, Drama",https://letterboxd.com/film/blade-runner-2049/
10,The Lego Batman Movie,Chris McKay,Will Arnett; Michael Cera; Rosario Dawson,"Comedy, Animation, Family, Action",https://letterboxd.com/film/the-lego-batman-movie/
11,Good Time,"Benny Safdie, Josh Safdie",Robert Pattinson; Benny Safdie; Buddy Duress,"Drama, Crime, Thriller",https://letterboxd.com/film/good-time/
12,The Florida Project,Sean Baker,Brooklynn Prince; Bria Vinaite; Willem Dafoe,Drama,https://letterboxd.com/film/the-florida-project/
13,Guardians of the Galaxy Vol. 2,James Gunn,Chris Pratt; Zoe Saldaña; Dave Bautista,"Action, Science Fiction, Adventure",https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/
14,Phantom Thread,Paul Thomas Anderson,Daniel Day-Lewis; Vicky Krieps; Lesley Manville,"Drama, Romance",https://letterboxd.com/film/phantom-thread/
15,Thor: Ragnarok,Taika Waititi,Chris Hemsworth; Mark Ruffalo; Tom Hiddleston,"Comedy, Science Fiction, Action",https://letterboxd.com/film/thor-ragnarok/
16,"I, Tonya",Craig Gillespie,Margot Robbie; Sebastian Stan; Allison Janney,"Drama, Comedy",https://letterboxd.com/film/i-tonya/
17,Dunkirk,Christopher Nolan,Fionn Whitehead; Tom Hardy; Mark Rylance,"Action, Drama, War",https://letterboxd.com/film/dunkirk-2017/
18,Jumanji: Welcome to the Jungle,Jake Kasdan,Dwayne Johnson; Kevin Hart; Jack Black,"Action, Comedy, Fantasy, Adventure",https://letterboxd.com/film/jumanji-welcome-to-the-jungle/
19,Star Wars: The Last Jedi,Rian Johnson,Mark Hamill; Carrie Fisher; Adam Driver,"Adventure, Action, Science Fiction",https://letterboxd.com/film/star-wars-the-last-jedi/
20,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Frances McDormand; Woody Harrelson; Sam Rockwell,"Crime, Drama",https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/
21,The Ritual,David Bruckner,Rafe Spall; Arsher Ali; Robert James-Collier,"Horror, Mystery",https://letterboxd.com/film/the-ritual-2017/
