rank,title,director,actors,genres,url
1,(500) Days of Summer,Marc Webb,Joseph Gordon-Levitt; Zooey Deschanel; Geoffrey Arend,"Romance, Comedy, Drama",https://letterboxd.com/film/500-days-of-summer/
2,Inglourious Basterds,Quentin Tarantino,Brad Pitt; Mélanie Laurent; Christoph Waltz,"War, Drama, Thriller",https://letterboxd.com/film/inglourious-basterds/
3,Avatar,James Cameron,Sam Worthington; Zoe Saldaña; Sigourney Weaver,"Adventure, Science Fiction, Action",https://letterboxd.com/film/avatar/
4,Fantastic Mr. Fox,Wes Anderson,George Clooney; Meryl Streep; Jason Schwartzman,"Comedy, Animation, Family, Adventure",https://letterboxd.com/film/fantastic-mr-fox/
5,Jennifer's Body,Karyn Kusama,Megan Fox; Amanda Seyfried; Johnny Simmons,"Horror, Comedy",https://letterboxd.com/film/jennifers-body/
6,The Hangover,Todd Phillips,Bradley Cooper; Ed Helms; Zach Galifianakis,Comedy,https://letterboxd.com/film/the-hangover/
7,Coraline,Henry Selick,Dakota Fanning; Teri Hatcher; Jennifer Saunders,"Animation, Horror, Fantasy, Family",https://letterboxd.com/film/coraline/
8,The Twilight Saga: New Moon,Chris Weitz,Kristen Stewart; Robert Pattinson; Taylor Lautner,"Romance, Drama, Adventure, Fantasy",https://letterboxd.com/film/the-twilight-saga-new-moon/
9,Harry Potter and the Half-Blood Prince,David Yates,Daniel Radcliffe; Rupert Grint; Emma Watson,"Adventure, Fantasy",https://letterboxd.com/film/harry-potter-and-the-half-blood-prince/
10,He's Just Not That Into You,Ken Kwapis,Ginnifer Goodwin; Justin Long; Jennifer Aniston,"Romance, Comedy, Drama",https://letterboxd.com/film/hes-just-not-that-into-you/
11,Up,Pete Docter,Ed Asner; Christopher Plummer; Jordan Nagai,"Adventure, Family, Animation, Comedy",https://letterboxd.com/film/up/
12,The Proposal,Anne Fletcher,Sandra Bullock; Ryan Reynolds; Malin Åkerman,"Romance, Comedy, Drama",https://letterboxd.com/film/the-proposal-2009/
13,The Princess and the Frog,"Ron Clements, John Musker",Anika Noni Rose; Bruno Campos; Jim Cummings,"Romance, Family, Animation, Fantasy",https://letterboxd.com/film/the-princess-and-the-frog/
14,Zombieland,Ruben Fleischer,Jesse Eisenberg; Woody Harrelson; Emma Stone,"Comedy, Horror",https://letterboxd.com/film/zombieland/
15,Confessions of a Shopaholic,P.J. Hogan,Isla Fisher; Hugh Dancy; Krysten Ritter,"Comedy, Romance",https://letterboxd.com/film/confessions-of-a-shopaholic/
16,Hannah Montana: The Movie,Peter Chelsom,Miley Cyrus; Billy Ray Cyrus; Emily Osment,"Comedy, Music, Romance, Family, Drama",https://letterboxd.com/film/hannah-montana-the-movie/
17,Bride Wars,Gary Winick,Kate Hudson; Anne Hathaway; Bryan Greenberg,"Romance, Comedy",https://letterboxd.com/film/bride-wars/
18,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller",Bill Hader; Anna Faris; James Caan,"Animation, Comedy, Family",https://letterboxd.com/film/cloudy-with-a-chance-of-meatballs/
19,Brothers,Jim Sheridan,Tobey Maguire; Jake Gyllenhaal; Natalie Portman,"Drama, War, Thriller",https://letterboxd.com/film/brothers-2009/
20,Dogtooth,Yorgos Lanthimos,Christos Stergioglou; Michele Valley; Hristos Passalis,Drama,https://letterboxd.com/film/dogtooth/
21,Fast & Furious,Justin Lin,Vin Diesel; Paul Walker; Michelle Rodriguez,"Action, Thriller, Crime",https://letterboxd.com/film/fast-furious/
22,District 9,Neill Blomkamp,Sharlto Copley; Jason Cope; Nathalie Boltt,Science Fiction,https://letterboxd.com/film/district-9/
23,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels,Gabourey Sidibe; Mo'Nique; Paula Patton,Drama,https://letterboxd.com/film/precious-based-on-the-novel-push-by-sapphire/
24,The Ugly Truth,Robert Luketic,Katherine Heigl; Gerard Butler; Eric Winter,"Romance, Comedy",https://letterboxd.com/film/the-ugly-truth/
25,17 Again,Burr Steers,Zac Efron; Leslie Mann; Thomas Lennon,"Comedy, Fantasy",https://letterboxd.com/film/17-again/
26,X-Men Origins: Wolverine,Gavin Hood,Hugh Jackman; Liev Schreiber; Danny Huston,"Science Fiction, Adventure, Action",https://letterboxd.com/film/x-men-origins-wolverine/
27,Night at the Museum: Battle of the Smithsonian,Shawn Levy,Ben Stiller; Amy Adams; Owen Wilson,"Family, Adventure, Comedy, Fantasy, Action",https://letterboxd.com/film/night-at-the-museum-battle-of-the-smithsonian/
28,Sherlock Holmes,Guy Ritchie,Robert Downey Jr.; Jude Law; Rachel McAdams,"Mystery, Adventure, Crime",https://letterboxd.com/film/sherlock-holmes-2009/
29,Transformers: Revenge of the Fallen,Michael Bay,Shia LaBeouf; Megan Fox; Peter Cullen,"Action, Adventure, Science Fiction",https://letterboxd.com/film/transformers-revenge-of-the-fallen/
30,Julie & Julia,Nora Ephron,Meryl Streep; Amy Adams; Stanley Tucci,"Romance, Drama",https://letterboxd.com/film/julie-julia/
31,The Secret in Their Eyes,Juan José Campanella,Ricardo Darín; Soledad Villamil; Pablo Rago,"Thriller, Drama, Mystery",https://letterboxd.com/film/the-secret-in-their-eyes/
32,Orphan,Jaume Collet-Serra,Vera Farmiga; Peter Sarsgaard; Isabelle Fuhrman,"Horror, Thriller",https://letterboxd.com/film/orphan/
33,The Final Destination,David R. Ellis,Bobby Campo; Shantel VanSanten; Nick Zano,"Horror, Mystery",https://letterboxd.com/film/the-final-destination/
34,Moon,Duncan Jones,Sam Rockwell; Kevin Spacey; Dominique McElligott,"Science Fiction, Drama",https://letterboxd.com/film/moon/
35,Drag Me to Hell,Sam Raimi,Alison Lohman; Justin Long; Lorna Raver,"Thriller, Horror",https://letterboxd.com/film/drag-me-to-hell/
36,Enter the Void,Gaspar Noé,Paz de la Huerta; Nathaniel Brown; Cyril Roy,"Drama, Fantasy",https://letterboxd.com/film/enter-the-void/
37,The Lovely Bones,Peter Jackson,Saoirse Ronan; Mark Wahlberg; Rachel Weisz,"Fantasy, Drama",https://letterboxd.com/film/the-lovely-bones/
38,The Human Centipede (First Sequence),Tom Six,Dieter Laser; Winter Williams (Formerly Ashley C. Williams); Ashlynn Yennie,Horror,https://letterboxd.com/film/the-human-centipede-first-sequence/
39,Watchmen,Zack Snyder,Malin Åkerman; Patrick Wilson; Billy Crudup,"Science Fiction, Action, Mystery",https://letterboxd.com/film/watchmen/
40,Ice Age: Dawn of the Dinosaurs,Carlos Saldanha,Ray Romano; John Leguizamo; Denis Leary,"Comedy, Adventure, Animation, Family",https://letterboxd.com/film/ice-age-dawn-of-the-dinosaurs/
41,Antichrist,Lars von Trier,Willem Dafoe; Charlotte Gainsbourg; Storm Acheche Sahlstrøm,"Thriller, Horror, Drama",https://letterboxd.com/film/antichrist/
42,2012,Roland Emmerich,John Cusack; Amanda Peet; Chiwetel Ejiofor,"Adventure, Action, Science Fiction",https://letterboxd.com/film/2012/
43,Mary and Max,Adam Elliot,Toni Collette; Philip Seymour Hoffman; Barry Humphries,"Animation, Drama, Comedy",https://letterboxd.com/film/mary-and-max/
44,Alvin and the Chipmunks: The Squeakquel,Betty Thomas,Zachary Levi; David Cross; Jason Lee,"Family, Animation, Fantasy, Music, Comedy",https://letterboxd.com/film/alvin-and-the-chipmunks-the-squeakquel/
45,The Blind Side,John Lee Hancock,Sandra Bullock; Tim McGraw; Quinton Aaron,Drama,https://letterboxd.com/film/the-blind-side/
46,Hachi: A Dog's Tale,Lasse Hallström,Richard Gere; Joan Allen; Sarah Roemer,"Drama, Family",https://letterboxd.com/film/hachi-a-dogs-tale/
47,Triangle,Christopher Smith,Melissa George; Liam Hemsworth; Emma Lung,Horror,https://letterboxd.com/film/triangle-2009/
48,Paul Blart: Mall Cop,Steve Carr,Kevin James; Keir O'Donnell; Jayma Mays,"Adventure, Comedy, Family, Action",https://letterboxd.com/film/paul-blart-mall-cop/
49,Adventureland,Greg Mottola,Jesse Eisenberg; Kristen Stewart; Martin Starr,"Romance, Comedy, Drama",https://letterboxd.com/film/adventureland/
50,3 Idiots,Rajkumar Hirani,Aamir Khan; R. Madhavan; Sharman Joshi,"Drama, Comedy",https://letterboxd.com/film/3-idiots/
