rank,title,url
1,Grease,https://letterboxd.com/film/grease/
2,Halloween,https://letterboxd.com/film/halloween-1978/
3,The Deer Hunter,https://letterboxd.com/film/the-deer-hunter/
4,Autumn Sonata,https://letterboxd.com/film/autumn-sonata/
5,Days of Heaven,https://letterboxd.com/film/days-of-heaven/
6,Invasion of the Body Snatchers,https://letterboxd.com/film/invasion-of-the-body-snatchers-1978/
7,The Wiz,https://letterboxd.com/film/the-wiz/
8,Superman,https://letterboxd.com/film/superman/
9,Dawn of the Dead,https://letterboxd.com/film/dawn-of-the-dead/
10,Watership Down,https://letterboxd.com/film/watership-down/
11,Midnight Express,https://letterboxd.com/film/midnight-express/
12,Killer of Sheep,https://letterboxd.com/film/killer-of-sheep/
13,Faces of Death,https://letterboxd.com/film/faces-of-death/
14,Animal House,https://letterboxd.com/film/animal-house/
15,The Last Waltz,https://letterboxd.com/film/the-last-waltz/
16,Death on the Nile,https://letterboxd.com/film/death-on-the-nile/
17,Beauty and the Beast,https://letterboxd.com/film/beauty-and-the-beast-1978/
18,French Fried Vacation,https://letterboxd.com/film/french-fried-vacation/
19,The Lord of the Rings,https://letterboxd.com/film/the-lord-of-the-rings/
20,Jaws 2,https://letterboxd.com/film/jaws-2/
21,The Driver,https://letterboxd.com/film/the-driver/
22,Drunken Master,https://letterboxd.com/film/drunken-master/
23,Girlfriends,https://letterboxd.com/film/girlfriends-1978/
24,The 36th Chamber of Shaolin,https://letterboxd.com/film/the-36th-chamber-of-shaolin/
25,Up in Smoke,https://letterboxd.com/film/up-in-smoke-1978/
26,I Spit on Your Grave,https://letterboxd.com/film/i-spit-on-your-grave/
27,Hooper,https://letterboxd.com/film/hooper/
28,Piranha,https://letterboxd.com/film/piranha/
29,Blue Collar,https://letterboxd.com/film/blue-collar/
30,Magic,https://letterboxd.com/film/magic/
31,La Cage aux Folles,https://letterboxd.com/film/la-cage-aux-folles/
32,The Meetings of Anna,https://letterboxd.com/film/the-meetings-of-anna/
33,Attack of the Killer Tomatoes!,https://letterboxd.com/film/attack-of-the-killer-tomatoes/
34,The Star Wars Holiday Special,https://letterboxd.com/film/the-star-wars-holiday-special/
35,An Unmarried Woman,https://letterboxd.com/film/an-unmarried-woman/
36,Pretty Baby,https://letterboxd.com/film/pretty-baby/
37,Interiors,https://letterboxd.com/film/interiors/
38,Foul Play,https://letterboxd.com/film/foul-play/
39,The Boys from Brazil,https://letterboxd.com/film/the-boys-from-brazil/
40,Straight Time,https://letterboxd.com/film/straight-time/
41,Heaven Can Wait,https://letterboxd.com/film/heaven-can-wait-1978/
42,The Grapes of Death,https://letterboxd.com/film/the-grapes-of-death/
43,Eyes of Laura Mars,https://letterboxd.com/film/eyes-of-laura-mars/
44,I Wanna Hold Your Hand,https://letterboxd.com/film/i-wanna-hold-your-hand/
45,Game of Death,https://letterboxd.com/film/game-of-death/
46,The Fury,https://letterboxd.com/film/the-fury/
47,Damien - Omen II,https://letterboxd.com/film/damien-omen-ii/
48,Jubilee,https://letterboxd.com/film/jubilee/
49,The Silent Partner,https://letterboxd.com/film/the-silent-partner/
50,Behind Convent Walls,https://letterboxd.com/film/behind-convent-walls/
