rank,title,director,actors,genres,url
1,The Shining,Stanley Kubrick,Jack Nicholson; Shelley Duvall; Danny Lloyd,"Horror, Thriller",https://letterboxd.com/film/the-shining/
2,The Empire Strikes Back,Irvin Kershner,Mark Hamill; Harrison Ford; Carrie Fisher,"Science Fiction, Adventure, Action",https://letterboxd.com/film/the-empire-strikes-back/
3,Raging Bull,Martin Scorsese,Robert De Niro; Cathy Moriarty; Joe Pesci,"History, Drama",https://letterboxd.com/film/raging-bull/
4,The Elephant Man,David Lynch,Anthony Hopkins; John Hurt; Anne Bancroft,"History, Drama",https://letterboxd.com/film/the-elephant-man/
5,Airplane!,"Jerry Zucker, David Zucker, Jim Abrahams",Robert Hays; Julie Hagerty; Leslie Nielsen,Comedy,https://letterboxd.com/film/airplane/
6,Friday the 13th,Sean S. Cunningham,Adrienne King; Betsy Palmer; Kevin Bacon,Horror,https://letterboxd.com/film/friday-the-13th/
7,The Blues Brothers,John Landis,John Belushi; Dan Aykroyd; James Brown,"Music, Comedy, Crime",https://letterboxd.com/film/the-blues-brothers/
8,Cruising,William Friedkin,Al Pacino; Paul Sorvino; Karen Allen,"Thriller, Crime, Mystery",https://letterboxd.com/film/cruising/
9,Dressed to Kill,Brian De Palma,Michael Caine; Nancy Allen; Angie Dickinson,"Horror, Mystery, Thriller",https://letterboxd.com/film/dressed-to-kill-1980/
10,Altered States,Ken Russell,William Hurt; Blair Brown; Bob Balaban,"Thriller, Horror, Science Fiction",https://letterboxd.com/film/altered-states/
11,Nine to Five,Colin Higgins,Jane Fonda; Lily Tomlin; Dolly Parton,Comedy,https://letterboxd.com/film/nine-to-five/
12,The Party,Claude Pinoteau,Claude Brasseur; Brigitte Fossey; Sophie Marceau,"Drama, Comedy, Romance",https://letterboxd.com/film/the-party-1980/
13,Pixote,Héctor Babenco,Fernando Ramos da Silva; Jorge Julião; Gilberto Moura,"Drama, Crime",https://letterboxd.com/film/pixote/
14,The Fog,John Carpenter,Adrienne Barbeau; Tom Atkins; Jamie Lee Curtis,Horror,https://letterboxd.com/film/the-fog/
15,The Blue Lagoon,Randal Kleiser,Brooke Shields; Christopher Atkins; Leo McKern,"Romance, Adventure, Drama",https://letterboxd.com/film/the-blue-lagoon/
16,Cannibal Holocaust,Ruggero Deodato,Robert Kerman; Francesca Ciardi; Perry Pirkanen,Horror,https://letterboxd.com/film/cannibal-holocaust/
17,Ordinary People,Robert Redford,Donald Sutherland; Mary Tyler Moore; Judd Hirsch,Drama,https://letterboxd.com/film/ordinary-people/
18,Caddyshack,Harold Ramis,Chevy Chase; Rodney Dangerfield; Ted Knight,Comedy,https://letterboxd.com/film/caddyshack/
19,The Long Good Friday,John Mackenzie,Bob Hoskins; Helen Mirren; Dave King,"Crime, Drama, Thriller",https://letterboxd.com/film/the-long-good-friday/
20,Inferno,Dario Argento,Leigh McCloskey; Irene Miracle; Eleonora Giorgi,"Horror, Thriller",https://letterboxd.com/film/inferno-1980/
21,Talking Heads,Krzysztof Kieślowski,,Documentary,https://letterboxd.com/film/talking-heads/
22,Night of the Juggler,Robert Butler,James Brolin; Cliff Gorman; Richard S. Castellano,"Action, Crime, Thriller",https://letterboxd.com/film/night-of-the-juggler/
23,Maniac,William Lustig,Joe Spinell; Caroline Munro; Abigail Clayton,Horror,https://letterboxd.com/film/maniac-1980/
24,Superman II,Richard Lester,Christopher Reeve; Margot Kidder; Terence Stamp,"Action, Adventure, Science Fiction",https://letterboxd.com/film/superman-ii/
25,Kagemusha,Akira Kurosawa,Tatsuya Nakadai; Tsutomu Yamazaki; Kenichi Hagiwara,"Action, Drama, War, History",https://letterboxd.com/film/kagemusha/
26,The King and the Mockingbird,Paul Grimault,Jean Martin; Renaud Marx; Agnès Viala,"Fantasy, Animation, Family",https://letterboxd.com/film/the-king-and-the-mockingbird/
27,"Pepi, Luci, Bom",Pedro Almodóvar,Carmen Maura; Eva Siva; Alaska,"Drama, Comedy",https://letterboxd.com/film/pepi-luci-bom/
28,American Gigolo,Paul Schrader,Richard Gere; Lauren Hutton; Héctor Elizondo,"Mystery, Crime, Drama",https://letterboxd.com/film/american-gigolo/
29,Flash Gordon,Mike Hodges,Sam J. Jones; Melody Anderson; Max von Sydow,"Action, Adventure, Science Fiction",https://letterboxd.com/film/flash-gordon-1980/
