rank,title,director,actors,genres,url
30,Prom Night,Paul Lynch,Leslie Nielsen; Jamie Lee Curtis; Casey Stevens,"Mystery, Horror",https://letterboxd.com/film/prom-night/
31,The Changeling,Peter Medak,George C. Scott; Trish Van Devere; Melvyn Douglas,Horror,https://letterboxd.com/film/the-changeling/
32,Somewhere in Time,Jeannot Szwarc,Christopher Reeve; Jane Seymour; Christopher Plummer,"Drama, Romance, Fantasy",https://letterboxd.com/film/somewhere-in-time/
33,Out of the Blue,Dennis Hopper,Linda Manz; Dennis Hopper; Sharon Farrell,Drama,https://letterboxd.com/film/out-of-the-blue/
34,Xanadu,Robert Greenwald,Olivia Newton-John; Gene Kelly; Michael Beck,"Fantasy, Romance, Science Fiction",https://letterboxd.com/film/xanadu/
35,Popeye,Robert Altman,Robin Williams; Shelley Duvall; Ray Walston,"Comedy, Action, Adventure, Family",https://letterboxd.com/film/popeye/
36,City of the Living Dead,Lucio Fulci,Christopher George; Catriona MacColl; Carlo De Mejo,"Mystery, Horror, Fantasy",https://letterboxd.com/film/city-of-the-living-dead/
37,Bye Bye Brazil,Carlos Diegues,José Wilker; Betty Faria; Fábio Júnior,Drama,https://letterboxd.com/film/bye-bye-brazil/
38,Permanent Vacation,Jim Jarmusch,Chris Parker; Leila Gastil; John Lurie,Drama,https://letterboxd.com/film/permanent-vacation/
39,Alligator,Lewis Teague,Robert Forster; Robin Riker; Michael V. Gazzo,"Thriller, Horror, Science Fiction",https://letterboxd.com/film/alligator/
40,Bubble Bath,György Kovásznai,Albert Antalffy; Katalin Bontovics; Katalin Dobos,"Drama, Comedy, Animation, Music",https://letterboxd.com/film/bubble-bath/
41,The Stunt Man,Richard Rush,Peter O'Toole; Steve Railsback; Barbara Hershey,"Action, Thriller, Romance, Comedy, Drama",https://letterboxd.com/film/the-stunt-man/
42,Gloria,John Cassavetes,Gena Rowlands; Buck Henry; Julie Carmen,"Thriller, Drama, Crime",https://letterboxd.com/film/gloria/
43,Moscow Does Not Believe in Tears,Vladimir Menshov,Vera Alentova; Aleksey Batalov; Irina Muravyova,"Romance, Comedy, Drama",https://letterboxd.com/film/moscow-does-not-believe-in-tears/
44,The Gods Must Be Crazy,Jamie Uys,Marius Weyers; Sandra Prinsloo; N!xau,"Action, Comedy",https://letterboxd.com/film/the-gods-must-be-crazy/
45,The Ninth Configuration,William Peter Blatty,Stacy Keach; Scott Wilson; Jason Miller,"Horror, Drama, Comedy",https://letterboxd.com/film/the-ninth-configuration/
46,Fame,Alan Parker,Irene Cara; Barry Miller; Maureen Teefy,"Drama, Music",https://letterboxd.com/film/fame/
47,Motel Hell,Kevin Connor,Rory Calhoun; Paul Linke; Nancy Parsons,"Horror, Comedy",https://letterboxd.com/film/motel-hell/
48,Heaven's Gate,Michael Cimino,Kris Kristofferson; Christopher Walken; John Hurt,"Drama, Western, History",https://letterboxd.com/film/heavens-gate/
49,Urban Cowboy,James Bridges,John Travolta; Debra Winger; Scott Glenn,"Romance, Drama, Western",https://letterboxd.com/film/urban-cowboy/
50,Forbidden Zone,Richard Elfman,Hervé Villechaize; Susan Tyrrell; Matthew Bright,"Comedy, Fantasy, Music",https://letterboxd.com/film/forbidden-zone/
