rank,title,director,actors,genres,url
1,La La Land,Damien Chazelle,Ryan Gosling; Emma Stone; John Legend,"Drama, Comedy, Romance",https://letterboxd.com/film/la-la-land/
2,Me Before You,Thea Sharrock,Emilia Clarke; Sam Claflin; Janet McTeer,"Drama, Romance",https://letterboxd.com/film/me-before-you/
3,Arrival,Denis Villeneuve,Amy Adams; Jeremy Renner; Forest Whitaker,"Mystery, Science Fiction, Drama",https://letterboxd.com/film/arrival-2016/
4,Zootopia,"Byron Howard, Rich Moore",Ginnifer Goodwin; Jason Bateman; Idris Elba,"Animation, Family, Comedy, Adventure",https://letterboxd.com/film/zootopia/
5,Moonlight,Barry Jenkins,Trevante Rhodes; André Holland; Janelle Monáe,Drama,https://letterboxd.com/film/moonlight-2016/
6,The Nice Guys,Shane Black,Russell Crowe; Ryan Gosling; Angourie Rice,"Action, Comedy, Crime",https://letterboxd.com/film/the-nice-guys/
7,Manchester by the Sea,Kenneth Lonergan,Casey Affleck; Lucas Hedges; Michelle Williams,Drama,https://letterboxd.com/film/manchester-by-the-sea/
8,Captain America: Civil War,"Joe Russo, Anthony Russo",Chris Evans; Robert Downey Jr.; Scarlett Johansson,"Adventure, Action, Science Fiction",https://letterboxd.com/film/captain-america-civil-war/
9,Your Name.,Makoto Shinkai,Ryunosuke Kamiki; Mone Kamishiraishi; Ryo Narita,"Romance, Animation, Drama",https://letterboxd.com/film/your-name/
10,The Handmaiden,Park Chan-wook,Kim Min-hee; Kim Tae-ri; Ha Jung-woo,"Thriller, Romance, Drama",https://letterboxd.com/film/the-handmaiden/
11,Hacksaw Ridge,Mel Gibson,Andrew Garfield; Sam Worthington; Vince Vaughn,"War, Drama, History",https://letterboxd.com/film/hacksaw-ridge/
12,Rogue One: A Star Wars Story,Gareth Edwards,Felicity Jones; Diego Luna; Alan Tudyk,"Adventure, Action, Science Fiction",https://letterboxd.com/film/rogue-one-a-star-wars-story/
13,A Silent Voice: The Movie,Naoko Yamada,Miyu Irino; Saori Hayami; Aoi Yuuki,"Romance, Animation, Drama",https://letterboxd.com/film/a-silent-voice-the-movie/
14,War Dogs,Todd Phillips,Miles Teller; Jonah Hill; Ana de Armas,"Drama, Comedy, Crime",https://letterboxd.com/film/war-dogs-2016/
15,Train to Busan,Yeon Sang-ho,Gong Yoo; Kim Su-an; Jung Yu-mi,"Thriller, Horror, Adventure, Action",https://letterboxd.com/film/train-to-busan/
16,The Edge of Seventeen,Kelly Fremon Craig,Hailee Steinfeld; Woody Harrelson; Haley Lu Richardson,"Drama, Comedy",https://letterboxd.com/film/the-edge-of-seventeen/
17,Doctor Strange,Scott Derrickson,Benedict Cumberbatch; Chiwetel Ejiofor; Rachel McAdams,"Fantasy, Action, Adventure",https://letterboxd.com/film/doctor-strange-2016/
18,Split,M. Night Shyamalan,James McAvoy; Anya Taylor-Joy; Haley Lu Richardson,"Horror, Thriller",https://letterboxd.com/film/split-2016/
19,Deadpool,Tim Miller,Ryan Reynolds; Morena Baccarin; Ed Skrein,"Action, Adventure, Comedy",https://letterboxd.com/film/deadpool/
20,Miss Peregrine's Home for Peculiar Children,Tim Burton,Eva Green; Asa Butterfield; Samuel L. Jackson,"Fantasy, Adventure",https://letterboxd.com/film/miss-peregrines-home-for-peculiar-children/
21,Moana,"Ron Clements, John Musker",Auliʻi Cravalho; Dwayne Johnson; Rachel House,"Animation, Adventure, Family, Comedy",https://letterboxd.com/film/moana-2016/
22,The Conjuring 2,James Wan,Vera Farmiga; Patrick Wilson; Madison Wolfe,Horror,https://letterboxd.com/film/the-conjuring-2/
23,Passengers,Morten Tyldum,Jennifer Lawrence; Chris Pratt; Michael Sheen,"Drama, Science Fiction, Romance",https://letterboxd.com/film/passengers-2016/
24,Now You See Me 2,Jon M. Chu,Jesse Eisenberg; Mark Ruffalo; Woody Harrelson,"Thriller, Crime",https://letterboxd.com/film/now-you-see-me-2/
25,Hidden Figures,Theodore Melfi,Taraji P. Henson; Octavia Spencer; Janelle Monáe,"Drama, History",https://letterboxd.com/film/hidden-figures/
26,Suicide Squad,David Ayer,Will Smith; Jared Leto; Margot Robbie,"Action, Adventure, Fantasy",https://letterboxd.com/film/suicide-squad-2016/
27,The Autopsy of Jane Doe,André Øvredal,Emile Hirsch; Brian Cox; Ophelia Lovibond,"Horror, Mystery",https://letterboxd.com/film/the-autopsy-of-jane-doe/
28,Kung Fu Panda 3,"Jennifer Yuh Nelson, Alessandro Carloni",Jack Black; Bryan Cranston; Dustin Hoffman,"Adventure, Comedy, Action, Family, Animation",https://letterboxd.com/film/kung-fu-panda-3/
29,Terrifier,Damien Leone,David Howard Thornton; Jenna Kanell; Samantha Scaffidi,Horror,https://letterboxd.com/film/terrifier-2016/
30,Sing,Garth Jennings,Matthew McConaughey; Reese Witherspoon; Seth MacFarlane,"Comedy, Music, Animation, Family",https://letterboxd.com/film/sing-2016/
31,The Wailing,Na Hong-jin,Kwak Do-won; Hwang Jung-min; Chun Woo-hee,"Horror, Mystery",https://letterboxd.com/film/the-wailing/
32,Nerve,"Henry Joost, Ariel Schulman",Emma Roberts; Dave Franco; Emily Meade,"Mystery, Adventure, Crime",https://letterboxd.com/film/nerve-2016/
33,Fantastic Beasts and Where to Find Them,David Yates,Eddie Redmayne; Katherine Waterston; Dan Fogler,"Fantasy, Adventure",https://letterboxd.com/film/fantastic-beasts-and-where-to-find-them/
34,The Love Witch,Anna Biller,Samantha Robinson; Gian Keys; Laura Waddell,"Romance, Horror, Comedy, Fantasy",https://letterboxd.com/film/the-love-witch/
35,Finding Dory,Andrew Stanton,Albert Brooks; Ellen DeGeneres; Ed O'Neill,"Adventure, Animation, Family",https://letterboxd.com/film/finding-dory/
36,X-Men: Apocalypse,Bryan Singer,James McAvoy; Michael Fassbender; Jennifer Lawrence,"Science Fiction, Action, Fantasy",https://letterboxd.com/film/x-men-apocalypse/
37,Hell or High Water,David Mackenzie,Jeff Bridges; Chris Pine; Ben Foster,"Crime, Western, Drama",https://letterboxd.com/film/hell-or-high-water/
38,Nocturnal Animals,Tom Ford,Amy Adams; Jake Gyllenhaal; Michael Shannon,"Drama, Thriller",https://letterboxd.com/film/nocturnal-animals/
39,Sing Street,John Carney,Ferdia Walsh-Peelo; Lucy Boynton; Jack Reynor,"Romance, Drama, Music, Comedy",https://letterboxd.com/film/sing-street/
40,10 Cloverfield Lane,Dan Trachtenberg,John Goodman; Mary Elizabeth Winstead; John Gallagher Jr.,"Science Fiction, Thriller, Horror, Drama",https://letterboxd.com/film/10-cloverfield-lane/
41,Sausage Party,"Conrad Vernon, Greg Tiernan",Seth Rogen; Kristen Wiig; Jonah Hill,"Comedy, Animation, Adventure, Fantasy",https://letterboxd.com/film/sausage-party/
42,My Life as a Zucchini,Claude Barras,Gaspard Schlatter; Sixtine Murat; Paulin Jaccoud,"Drama, Comedy, Animation",https://letterboxd.com/film/my-life-as-a-zucchini/
43,A Cure for Wellness,Gore Verbinski,Dane DeHaan; Jason Isaacs; Mia Goth,"Mystery, Science Fiction, Horror",https://letterboxd.com/film/a-cure-for-wellness/
44,Raw,Julia Ducournau,Garance Marillier; Ella Rumpf; Rabah Nait Oufella,"Drama, Horror",https://letterboxd.com/film/raw-2016/
45,Popstar: Never Stop Never Stopping,"Akiva Schaffer, Jorma Taccone",Andy Samberg; Jorma Taccone; Akiva Schaffer,"Comedy, Music",https://letterboxd.com/film/popstar-never-stop-never-stopping/
46,Shin Godzilla,"Shinji Higuchi, Hideaki Anno",Hiroki Hasegawa; Yutaka Takenouchi; Satomi Ishihara,"Action, Horror, Science Fiction",https://letterboxd.com/film/shin-godzilla/
47,Silence,Martin Scorsese,Andrew Garfield; Adam Driver; Liam Neeson,"History, Drama",https://letterboxd.com/film/silence/
48,Batman v Superman: Dawn of Justice,Zack Snyder,Ben Affleck; Henry Cavill; Jesse Eisenberg,"Action, Fantasy, Adventure",https://letterboxd.com/film/batman-v-superman-dawn-of-justice/
49,Trolls,Mike Mitchell,Anna Kendrick; Justin Timberlake; Zooey Deschanel,"Fantasy, Animation, Comedy, Family, Adventure, Music",https://letterboxd.com/film/trolls/
50,Central Intelligence,Rawson Marshall Thurber,Dwayne Johnson; Kevin Hart; Amy Ryan,"Comedy, Action",https://letterboxd.com/film/central-intelligence/
