rank,title,director,actors,genres,url
1,Interstellar,Christopher Nolan,Matthew McConaughey; Anne Hathaway; Michael Caine,"Science Fiction, Drama, Adventure",https://letterboxd.com/film/interstellar/
2,The Grand Budapest Hotel,Wes Anderson,Ralph Fiennes; F. Murray Abraham; Mathieu Amalric,"Comedy, Drama",https://letterboxd.com/film/the-grand-budapest-hotel/
3,Whiplash,Damien Chazelle,Miles Teller; J.K. Simmons; Paul Reiser,"Drama, Music, Thriller",https://letterboxd.com/film/whiplash-2014/
4,Gone Girl,David Fincher,Ben Affleck; Rosamund Pike; Neil Patrick Harris,"Drama, Mystery, Thriller",https://letterboxd.com/film/gone-girl/
5,The Maze Runner,Wes Ball,Dylan O'Brien; Kaya Scodelario; Thomas Brodie-Sangster,"Science Fiction, Thriller, Action, Mystery",https://letterboxd.com/film/the-maze-runner/
6,The Hunger Games: Mockingjay – Part 1,Francis Lawrence,Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth,"Thriller, Science Fiction, Adventure",https://letterboxd.com/film/the-hunger-games-mockingjay-part-1/
7,Nightcrawler,Dan Gilroy,Jake Gyllenhaal; Riz Ahmed; Rene Russo,"Crime, Drama, Thriller",https://letterboxd.com/film/nightcrawler/
8,Guardians of the Galaxy,James Gunn,Chris Pratt; Zoe Saldaña; Dave Bautista,"Adventure, Action, Science Fiction",https://letterboxd.com/film/guardians-of-the-galaxy/
9,The Amazing Spider-Man 2,Marc Webb,Andrew Garfield; Emma Stone; Jamie Foxx,"Science Fiction, Action, Adventure",https://letterboxd.com/film/the-amazing-spider-man-2/
10,The Lego Movie,"Phil Lord, Christopher Miller",Chris Pratt; Elizabeth Banks; Will Ferrell,"Family, Fantasy, Comedy, Animation, Adventure",https://letterboxd.com/film/the-lego-movie/
11,Captain America: The Winter Soldier,"Joe Russo, Anthony Russo",Chris Evans; Samuel L. Jackson; Scarlett Johansson,"Adventure, Science Fiction, Action",https://letterboxd.com/film/captain-america-the-winter-soldier/
12,Creep,Patrick Brice,Mark Duplass; Patrick Brice; Katie Aselton,"Horror, Thriller",https://letterboxd.com/film/creep-2014/
13,John Wick,Chad Stahelski,Keanu Reeves; Michael Nyqvist; Alfie Allen,"Action, Thriller",https://letterboxd.com/film/john-wick/
14,22 Jump Street,"Phil Lord, Christopher Miller",Jonah Hill; Channing Tatum; Peter Stormare,"Action, Crime, Comedy",https://letterboxd.com/film/22-jump-street/
15,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,Michael Keaton; Emma Stone; Zach Galifianakis,"Drama, Comedy",https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/
16,How to Train Your Dragon 2,Dean DeBlois,Jay Baruchel; Cate Blanchett; Gerard Butler,"Animation, Adventure, Action, Fantasy, Family",https://letterboxd.com/film/how-to-train-your-dragon-2/
17,Big Hero 6,"Don Hall, Chris Williams",Scott Adsit; Ryan Potter; Daniel Henney,"Science Fiction, Comedy, Action, Family, Animation, Adventure",https://letterboxd.com/film/big-hero-6/
18,Divergent,Neil Burger,Shailene Woodley; Theo James; Ashley Judd,"Adventure, Action, Science Fiction",https://letterboxd.com/film/divergent/
19,"Love, Rosie",Christian Ditter,Lily Collins; Sam Claflin; Christian Cooke,"Drama, Romance, Comedy",https://letterboxd.com/film/love-rosie/
20,"As Above, So Below",John Erick Dowdle,Perdita Weeks; Ben Feldman; Edwin Hodge,"Horror, Thriller",https://letterboxd.com/film/as-above-so-below-2014/
21,I Believe in Unicorns,Leah Meyerhoff,Natalia Dyer; Peter Vack; Julia Garner,Drama,https://letterboxd.com/film/i-believe-in-unicorns/
22,Fury,David Ayer,Brad Pitt; Shia LaBeouf; Logan Lerman,"War, Drama, Action",https://letterboxd.com/film/fury-2014/
23,Kingsman: The Secret Service,Matthew Vaughn,Taron Egerton; Colin Firth; Samuel L. Jackson,"Action, Comedy, Crime, Adventure",https://letterboxd.com/film/kingsman-the-secret-service/
24,It Follows,David Robert Mitchell,Maika Monroe; Keir Gilchrist; Daniel Zovatto,"Horror, Mystery",https://letterboxd.com/film/it-follows/
25,The Hobbit: The Battle of the Five Armies,Peter Jackson,Ian McKellen; Martin Freeman; Richard Armitage,"Fantasy, Action, Adventure",https://letterboxd.com/film/the-hobbit-the-battle-of-the-five-armies/
26,Paddington,Paul King,Ben Whishaw; Hugh Bonneville; Sally Hawkins,"Comedy, Family, Adventure",https://letterboxd.com/film/paddington/
27,Chef,Jon Favreau,Jon Favreau; John Leguizamo; Bobby Cannavale,Comedy,https://letterboxd.com/film/chef/
28,The Book of Life,Jorge R. Gutierrez,Diego Luna; Channing Tatum; Zoe Saldaña,"Animation, Fantasy, Family",https://letterboxd.com/film/the-book-of-life-2014/
29,X-Men: Days of Future Past,Bryan Singer,Hugh Jackman; James McAvoy; Michael Fassbender,"Action, Science Fiction, Adventure",https://letterboxd.com/film/x-men-days-of-future-past/
30,The Imitation Game,Morten Tyldum,Benedict Cumberbatch; Keira Knightley; Matthew Goode,"Drama, War, Thriller, History",https://letterboxd.com/film/the-imitation-game/
31,Edge of Tomorrow,Doug Liman,Tom Cruise; Emily Blunt; Brendan Gleeson,"Science Fiction, Action",https://letterboxd.com/film/edge-of-tomorrow/
32,Lucy,Luc Besson,Scarlett Johansson; Morgan Freeman; Choi Min-sik,"Action, Science Fiction",https://letterboxd.com/film/lucy-2014/
33,The Fault in Our Stars,Josh Boone,Shailene Woodley; Ansel Elgort; Nat Wolff,"Romance, Drama",https://letterboxd.com/film/the-fault-in-our-stars/
34,The Babadook,Jennifer Kent,Essie Davis; Noah Wiseman; Hayley McElhinney,"Drama, Horror",https://letterboxd.com/film/the-babadook/
35,The Interview,"Evan Goldberg, Seth Rogen",James Franco; Seth Rogen; Lizzy Caplan,"Comedy, Action",https://letterboxd.com/film/the-interview-2014/
36,Maleficent,Robert Stromberg,Angelina Jolie; Elle Fanning; Imelda Staunton,"Romance, Fantasy, Action, Adventure, Family",https://letterboxd.com/film/maleficent/
37,Boyhood,Richard Linklater,Ellar Coltrane; Patricia Arquette; Ethan Hawke,Drama,https://letterboxd.com/film/boyhood/
38,Tusk,Kevin Smith,Michael Parks; Justin Long; Genesis Rodriguez,"Horror, Comedy",https://letterboxd.com/film/tusk-2014/
39,Dawn of the Planet of the Apes,Matt Reeves,Andy Serkis; Jason Clarke; Toby Kebbell,"Action, Thriller, Science Fiction, Drama",https://letterboxd.com/film/dawn-of-the-planet-of-the-apes/
40,Blended,Frank Coraci,Adam Sandler; Drew Barrymore; Kevin Nealon,"Comedy, Romance",https://letterboxd.com/film/blended/
41,When Marnie Was There,Hiromasa Yonebayashi,Sara Takatsuki; Kasumi Arimura; Nanako Matsushima,"Drama, Family, Animation",https://letterboxd.com/film/when-marnie-was-there/
42,The Equalizer,Antoine Fuqua,Denzel Washington; Marton Csokas; Chloë Grace Moretz,"Crime, Action, Thriller",https://letterboxd.com/film/the-equalizer/
43,What We Do in the Shadows,"Jemaine Clement, Taika Waititi",Jemaine Clement; Taika Waititi; Jonny Brugh,"Horror, Comedy",https://letterboxd.com/film/what-we-do-in-the-shadows/
44,Annabelle,John R. Leonetti,Annabelle Wallis; Ward Horton; Tony Amendola,Horror,https://letterboxd.com/film/annabelle/
45,American Sniper,Clint Eastwood,Bradley Cooper; Sienna Miller; Kyle Gallner,"Action, War",https://letterboxd.com/film/american-sniper/
46,The Taking of Deborah Logan,Adam Robitel,Jill Larson; Anne Ramsay; Michelle Ang,"Horror, Thriller, Mystery",https://letterboxd.com/film/the-taking-of-deborah-logan/
47,Wild Tales,Damián Szifron,Ricardo Darín; Leonardo Sbaraglia; Érica Rivas,"Comedy, Thriller, Drama",https://letterboxd.com/film/wild-tales/
48,Godzilla,Gareth Edwards,Aaron Taylor-Johnson; Elizabeth Olsen; Juliette Binoche,"Drama, Action, Science Fiction",https://letterboxd.com/film/godzilla-2014/
49,Predestination,"Michael Spierig, Peter Spierig",Ethan Hawke; Sarah Snook; Noah Taylor,"Science Fiction, Thriller",https://letterboxd.com/film/predestination/
50,I Origins,Mike Cahill,Michael Pitt; Brit Marling; Àstrid Bergès-Frisbey,"Drama, Science Fiction",https://letterboxd.com/film/i-origins/
