rank,title,director,actors,genres,url
1,The Martian,Ridley Scott,Matt Damon; Jessica Chastain; Kristen Wiig,"Drama, Science Fiction, Adventure",https://letterboxd.com/film/the-martian/
2,The Hunger Games: Mockingjay – Part 2,Francis Lawrence,Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth,"Adventure, Action, Science Fiction",https://letterboxd.com/film/the-hunger-games-mockingjay-part-2/
3,Avengers: Age of Ultron,Joss Whedon,Robert Downey Jr.; Chris Hemsworth; Mark Ruffalo,"Science Fiction, Action, Adventure",https://letterboxd.com/film/avengers-age-of-ultron/
4,Sicario,Denis Villeneuve,Emily Blunt; Benicio del Toro; Josh Brolin,"Action, Thriller, Crime",https://letterboxd.com/film/sicario-2015/
5,The Revenant,Alejandro G. Iñárritu,Leonardo DiCaprio; Tom Hardy; Domhnall Gleeson,"Adventure, Western, Drama",https://letterboxd.com/film/the-revenant-2015/
6,Maze Runner: The Scorch Trials,Wes Ball,Dylan O'Brien; Kaya Scodelario; Thomas Brodie-Sangster,"Science Fiction, Action, Adventure, Thriller",https://letterboxd.com/film/maze-runner-the-scorch-trials/
7,Pitch Perfect 2,Elizabeth Banks,Anna Kendrick; Brittany Snow; Hailee Steinfeld,"Comedy, Music",https://letterboxd.com/film/pitch-perfect-2/
8,The Visit,M. Night Shyamalan,Olivia DeJonge; Ed Oxenbould; Deanna Dunagan,"Horror, Thriller",https://letterboxd.com/film/the-visit-2015/
9,Ex Machina,Alex Garland,Domhnall Gleeson; Alicia Vikander; Oscar Isaac,"Science Fiction, Drama",https://letterboxd.com/film/ex-machina-2015/
10,The Witch,Robert Eggers,Anya Taylor-Joy; Ralph Ineson; Kate Dickie,Horror,https://letterboxd.com/film/the-witch-2015/
11,Mad Max: Fury Road,George Miller,Tom Hardy; Charlize Theron; Nicholas Hoult,"Science Fiction, Adventure, Action",https://letterboxd.com/film/mad-max-fury-road/
12,Inside Out,Pete Docter,Amy Poehler; Phyllis Smith; Richard Kind,"Animation, Adventure, Comedy, Family, Drama",https://letterboxd.com/film/inside-out-2015/
13,The Lobster,Yorgos Lanthimos,Colin Farrell; Rachel Weisz; Olivia Colman,"Romance, Drama, Comedy",https://letterboxd.com/film/the-lobster/
14,The Big Short,Adam McKay,Steve Carell; Christian Bale; Ryan Gosling,"Drama, Comedy",https://letterboxd.com/film/the-big-short/
15,Jurassic World,Colin Trevorrow,Chris Pratt; Bryce Dallas Howard; Irrfan Khan,"Adventure, Thriller, Science Fiction",https://letterboxd.com/film/jurassic-world/
16,Star Wars: The Force Awakens,J.J. Abrams,Daisy Ridley; John Boyega; Oscar Isaac,"Action, Adventure, Science Fiction",https://letterboxd.com/film/star-wars-the-force-awakens/
17,Demolition,Jean-Marc Vallée,Jake Gyllenhaal; Naomi Watts; Chris Cooper,"Drama, Comedy",https://letterboxd.com/film/demolition/
18,The Hateful Eight,Quentin Tarantino,Samuel L. Jackson; Kurt Russell; Jennifer Jason Leigh,"Drama, Mystery, Western",https://letterboxd.com/film/the-hateful-eight/
19,Ant-Man,Peyton Reed,Paul Rudd; Michael Douglas; Evangeline Lilly,"Adventure, Science Fiction, Action",https://letterboxd.com/film/ant-man/
20,Spectre,Sam Mendes,Daniel Craig; Christoph Waltz; Léa Seydoux,"Action, Thriller, Adventure",https://letterboxd.com/film/spectre-2015/
21,Fifty Shades of Grey,Sam Taylor-Johnson,Dakota Johnson; Jamie Dornan; Jennifer Ehle,"Romance, Thriller, Drama",https://letterboxd.com/film/fifty-shades-of-grey/
22,Creed,Ryan Coogler,Michael B. Jordan; Sylvester Stallone; Tessa Thompson,Drama,https://letterboxd.com/film/creed/
23,Carol,Todd Haynes,Cate Blanchett; Rooney Mara; Kyle Chandler,"Drama, Romance",https://letterboxd.com/film/carol-2015/
24,The Intern,Nancy Meyers,Robert De Niro; Anne Hathaway; Rene Russo,Comedy,https://letterboxd.com/film/the-intern-2015/
25,Minions,"Kyle Balda, Pierre Coffin",Sandra Bullock; Jon Hamm; Michael Keaton,"Comedy, Family, Animation, Adventure",https://letterboxd.com/film/minions/
26,Descendants,Kenny Ortega,Dove Cameron; Sofia Carson; Cameron Boyce,"Adventure, Family, Fantasy, TV Movie, Music",https://letterboxd.com/film/descendants-2015/
27,Spotlight,Tom McCarthy,Mark Ruffalo; Michael Keaton; Rachel McAdams,"History, Drama",https://letterboxd.com/film/spotlight/
28,Southpaw,Antoine Fuqua,Jake Gyllenhaal; Rachel McAdams; Forest Whitaker,"Drama, Action",https://letterboxd.com/film/southpaw-2015/
29,Pixels,Chris Columbus,Adam Sandler; Kevin James; Michelle Monaghan,"Science Fiction, Action, Comedy",https://letterboxd.com/film/pixels-2015/
