rank,title,url
1,Back to the Future,https://letterboxd.com/film/back-to-the-future/
2,After Hours,https://letterboxd.com/film/after-hours/
3,The Breakfast Club,https://letterboxd.com/film/the-breakfast-club/
4,Clue,https://letterboxd.com/film/clue/
5,Come and See,https://letterboxd.com/film/come-and-see/
6,Angel's Egg,https://letterboxd.com/film/angels-egg/
7,To Live and Die in L.A.,https://letterboxd.com/film/to-live-and-die-in-la/
8,Ran,https://letterboxd.com/film/ran/
9,The Goonies,https://letterboxd.com/film/the-goonies/
10,Brazil,https://letterboxd.com/film/brazil/
11,Tampopo,https://letterboxd.com/film/tampopo/
12,Hour of the Star,https://letterboxd.com/film/hour-of-the-star/
13,Rocky IV,https://letterboxd.com/film/rocky-iv/
14,Witness,https://letterboxd.com/film/witness/
15,Police Story,https://letterboxd.com/film/police-story/
16,Mishima: A Life in Four Chapters,https://letterboxd.com/film/mishima-a-life-in-four-chapters/
17,Re-Animator,https://letterboxd.com/film/re-animator/
18,Desert Hearts,https://letterboxd.com/film/desert-hearts/
19,Vagabond,https://letterboxd.com/film/vagabond/
20,Lost in America,https://letterboxd.com/film/lost-in-america/
21,Pee-wee's Big Adventure,https://letterboxd.com/film/pee-wees-big-adventure/
22,Legend,https://letterboxd.com/film/legend/
23,The Stuff,https://letterboxd.com/film/the-stuff/
24,The Return of the Living Dead,https://letterboxd.com/film/the-return-of-the-living-dead/
25,The Color Purple,https://letterboxd.com/film/the-color-purple/
26,A View to a Kill,https://letterboxd.com/film/a-view-to-a-kill/
27,A Nightmare on Elm Street Part 2: Freddy's Revenge,https://letterboxd.com/film/a-nightmare-on-elm-street-part-2-freddys-revenge/
28,Friday the 13th: A New Beginning,https://letterboxd.com/film/friday-the-13th-a-new-beginning/
29,Rambo: First Blood Part II,https://letterboxd.com/film/rambo-first-blood-part-ii/
30,Phenomena,https://letterboxd.com/film/phenomena/
31,Mad Max Beyond Thunderdome,https://letterboxd.com/film/mad-max-beyond-thunderdome/
32,Return to Oz,https://letterboxd.com/film/return-to-oz/
33,Vampire Hunter D,https://letterboxd.com/film/vampire-hunter-d/
34,Commando,https://letterboxd.com/film/commando/
35,Fright Night,https://letterboxd.com/film/fright-night/
36,The Black Cauldron,https://letterboxd.com/film/the-black-cauldron/
37,Waiting for the Hearse,https://letterboxd.com/film/waiting-for-the-hearse/
38,Day of the Dead,https://letterboxd.com/film/day-of-the-dead/
39,Taipei Story,https://letterboxd.com/film/taipei-story/
40,Desperately Seeking Susan,https://letterboxd.com/film/desperately-seeking-susan/
41,Out of Africa,https://letterboxd.com/film/out-of-africa/
42,The Purple Rose of Cairo,https://letterboxd.com/film/the-purple-rose-of-cairo/
43,Weird Science,https://letterboxd.com/film/weird-science/
44,Better Off Dead...,https://letterboxd.com/film/better-off-dead/
45,Teen Wolf,https://letterboxd.com/film/teen-wolf/
46,Demons,https://letterboxd.com/film/demons/
47,St. Elmo's Fire,https://letterboxd.com/film/st-elmos-fire/
48,The Official Story,https://letterboxd.com/film/the-official-story/
49,Just One of the Guys,https://letterboxd.com/film/just-one-of-the-guys/
50,Kiss of the Spider Woman,https://letterboxd.com/film/kiss-of-the-spider-woman/
