rank,title,director,actors,genres,url
1,Catch Me If You Can,Steven Spielberg,Leonardo DiCaprio; Tom Hanks; Christopher Walken,"Drama, Crime",https://letterboxd.com/film/catch-me-if-you-can-2002/
2,The Lord of the Rings: The Two Towers,Peter Jackson,Elijah Wood; Ian McKellen; Viggo Mortensen,"Action, Fantasy, Adventure",https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
3,Spider-Man,Sam Raimi,Tobey Maguire; Willem Dafoe; Kirsten Dunst,"Action, Science Fiction",https://letterboxd.com/film/spider-man/
4,28 Days Later,Danny Boyle,Cillian Murphy; Naomie Harris; Brendan Gleeson,"Science Fiction, Horror, Thriller",https://letterboxd.com/film/28-days-later/
5,Star Wars: Episode II – Attack of the Clones,George Lucas,Hayden Christensen; Ewan McGregor; Natalie Portman,"Science Fiction, Adventure, Action",https://letterboxd.com/film/star-wars-episode-ii-attack-of-the-clones/
6,Harry Potter and the Chamber of Secrets,Chris Columbus,Daniel Radcliffe; Rupert Grint; Emma Watson,"Adventure, Fantasy",https://letterboxd.com/film/harry-potter-and-the-chamber-of-secrets/
7,City of God,Fernando Meirelles,Alexandre Rodrigues; Leandro Firmino; Phellipe Haagensen,"Drama, Crime",https://letterboxd.com/film/city-of-god/
8,Secretary,Steven Shainberg,James Spader; Maggie Gyllenhaal; Jeremy Davies,"Comedy, Drama, Romance",https://letterboxd.com/film/secretary/
9,Punch-Drunk Love,Paul Thomas Anderson,Adam Sandler; Emily Watson; Philip Seymour Hoffman,"Drama, Romance, Comedy",https://letterboxd.com/film/punch-drunk-love/
10,The Pianist,Roman Polanski,Adrien Brody; Thomas Kretschmann; Frank Finlay,"War, Drama",https://letterboxd.com/film/the-pianist/
11,Sweet Home Alabama,Andy Tennant,Reese Witherspoon; Josh Lucas; Patrick Dempsey,"Comedy, Romance",https://letterboxd.com/film/sweet-home-alabama/
12,Scooby-Doo,Raja Gosnell,Freddie Prinze Jr.; Sarah Michelle Gellar; Matthew Lillard,"Comedy, Adventure, Mystery",https://letterboxd.com/film/scooby-doo/
13,Chicago,Rob Marshall,Renée Zellweger; Catherine Zeta-Jones; Richard Gere,"Comedy, Crime, Drama",https://letterboxd.com/film/chicago/
14,The Bourne Identity,Doug Liman,Matt Damon; Franka Potente; Chris Cooper,"Action, Thriller, Mystery",https://letterboxd.com/film/the-bourne-identity-2002/
15,Insomnia,Christopher Nolan,Al Pacino; Robin Williams; Hilary Swank,"Crime, Thriller, Drama",https://letterboxd.com/film/insomnia-2002/
