rank,title,director,actors,genres,url
1,Dead Poets Society,Peter Weir,Robin Williams; Robert Sean Leonard; Ethan Hawke,Drama,https://letterboxd.com/film/dead-poets-society/
2,When Harry Met Sally...,Rob Reiner,Billy Crystal; Meg Ryan; Carrie Fisher,"Drama, Romance, Comedy",https://letterboxd.com/film/when-harry-met-sally/
3,Kiki's Delivery Service,Hayao Miyazaki,Minami Takayama; Rei Sakuma; Kappei Yamaguchi,"Fantasy, Animation, Family",https://letterboxd.com/film/kikis-delivery-service/
4,Heathers,Michael Lehmann,Winona Ryder; Christian Slater; Shannen Doherty,"Comedy, Crime",https://letterboxd.com/film/heathers/
5,Back to the Future Part II,Robert Zemeckis,Michael J. Fox; Christopher Lloyd; Lea Thompson,"Science Fiction, Comedy, Adventure",https://letterboxd.com/film/back-to-the-future-part-ii/
6,Do the Right Thing,Spike Lee,Danny Aiello; Ossie Davis; Ruby Dee,Drama,https://letterboxd.com/film/do-the-right-thing/
7,Twin Peaks,David Lynch,Kyle MacLachlan; Michael Ontkean; Mädchen Amick,"Thriller, Drama, Mystery",https://letterboxd.com/film/twin-peaks/
8,Indiana Jones and the Last Crusade,Steven Spielberg,Harrison Ford; Sean Connery; Denholm Elliott,"Adventure, Action",https://letterboxd.com/film/indiana-jones-and-the-last-crusade/
9,Batman,Tim Burton,Michael Keaton; Jack Nicholson; Kim Basinger,"Fantasy, Action, Crime",https://letterboxd.com/film/batman-1989/
10,The Little Mermaid,"John Musker, Ron Clements",Jodi Benson; Samuel E. Wright; Pat Carroll,"Family, Animation, Fantasy",https://letterboxd.com/film/the-little-mermaid/
11,Say Anything...,Cameron Crowe,John Cusack; Ione Skye; John Mahoney,"Romance, Drama, Comedy",https://letterboxd.com/film/say-anything/
12,The Killer,John Woo,Chow Yun-Fat; Danny Lee Sau-Yin; Sally Yip Sin-Man,"Crime, Drama, Action, Thriller",https://letterboxd.com/film/the-killer/
13,Steel Magnolias,Herbert Ross,Sally Field; Dolly Parton; Shirley MacLaine,"Romance, Comedy, Drama",https://letterboxd.com/film/steel-magnolias/
14,"sex, lies, and videotape",Steven Soderbergh,James Spader; Andie MacDowell; Peter Gallagher,Drama,https://letterboxd.com/film/sex-lies-and-videotape/
15,Bill & Ted's Excellent Adventure,Stephen Herek,Keanu Reeves; Alex Winter; George Carlin,"Science Fiction, Adventure, Comedy",https://letterboxd.com/film/bill-teds-excellent-adventure/
16,The 'Burbs,Joe Dante,Tom Hanks; Bruce Dern; Carrie Fisher,"Comedy, Thriller, Horror",https://letterboxd.com/film/the-burbs/
17,The Abyss,James Cameron,Ed Harris; Mary Elizabeth Mastrantonio; Michael Biehn,"Thriller, Adventure, Science Fiction",https://letterboxd.com/film/the-abyss/
