rank,title,url
1,Pulp Fiction,https://letterboxd.com/film/pulp-fiction/
2,The Shawshank Redemption,https://letterboxd.com/film/the-shawshank-redemption/
3,Forrest Gump,https://letterboxd.com/film/forrest-gump/
4,Chungking Express,https://letterboxd.com/film/chungking-express/
5,Léon: The Professional,https://letterboxd.com/film/leon-the-professional/
6,The Lion King,https://letterboxd.com/film/the-lion-king/
7,The Mask,https://letterboxd.com/film/the-mask-1994/
8,Four Weddings and a Funeral,https://letterboxd.com/film/four-weddings-and-a-funeral/
9,Interview with the Vampire,https://letterboxd.com/film/interview-with-the-vampire/
10,Ace Ventura: Pet Detective,https://letterboxd.com/film/ace-ventura-pet-detective/
11,Speed,https://letterboxd.com/film/speed/
12,Little Women,https://letterboxd.com/film/little-women-1994/
13,Dumb and Dumber,https://letterboxd.com/film/dumb-and-dumber/
14,Natural Born Killers,https://letterboxd.com/film/natural-born-killers/
15,The Crow,https://letterboxd.com/film/the-crow/
16,Three Colours: Red,https://letterboxd.com/film/three-colours-red/
17,In the Mouth of Madness,https://letterboxd.com/film/in-the-mouth-of-madness/
18,Clerks,https://letterboxd.com/film/clerks/
19,Three Colours: White,https://letterboxd.com/film/three-colours-white/
20,"The Adventures of Priscilla, Queen of the Desert",https://letterboxd.com/film/the-adventures-of-priscilla-queen-of-the-desert/
21,Serial Mom,https://letterboxd.com/film/serial-mom/
22,The Client,https://letterboxd.com/film/the-client/
23,Only You,https://letterboxd.com/film/only-you-1994/
24,Pom Poko,https://letterboxd.com/film/pom-poko/
25,The Swan Princess,https://letterboxd.com/film/the-swan-princess/
26,Legends of the Fall,https://letterboxd.com/film/legends-of-the-fall/
27,Reality Bites,https://letterboxd.com/film/reality-bites/
28,True Lies,https://letterboxd.com/film/true-lies/
29,Muriel's Wedding,https://letterboxd.com/film/muriels-wedding/
30,Fear City: A Family-Style Comedy,https://letterboxd.com/film/fear-city-a-family-style-comedy/
31,The Little Rascals,https://letterboxd.com/film/the-little-rascals/
32,Ed Wood,https://letterboxd.com/film/ed-wood/
33,Naked Gun 33⅓: The Final Insult,https://letterboxd.com/film/naked-gun-33-the-final-insult/
34,Satantango,https://letterboxd.com/film/satantango/
35,Heavenly Creatures,https://letterboxd.com/film/heavenly-creatures/
36,Shallow Grave,https://letterboxd.com/film/shallow-grave/
37,Stargate,https://letterboxd.com/film/stargate/
38,It Could Happen to You,https://letterboxd.com/film/it-could-happen-to-you/
39,The Hudsucker Proxy,https://letterboxd.com/film/the-hudsucker-proxy/
40,Eat Drink Man Woman,https://letterboxd.com/film/eat-drink-man-woman/
41,Exotica,https://letterboxd.com/film/exotica/
42,Through the Olive Trees,https://letterboxd.com/film/through-the-olive-trees/
43,Quiz Show,https://letterboxd.com/film/quiz-show/
44,Dream Lover,https://letterboxd.com/film/dream-lover/
45,Wes Craven's New Nightmare,https://letterboxd.com/film/wes-cravens-new-nightmare/
46,Disclosure,https://letterboxd.com/film/disclosure/
47,Baby's Day Out,https://letterboxd.com/film/babys-day-out/
48,D2: The Mighty Ducks,https://letterboxd.com/film/d2-the-mighty-ducks/
49,Nadja,https://letterboxd.com/film/nadja/
50,Street Fighter,https://letterboxd.com/film/street-fighter/
